Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14
SORKUN	صورقون							Kaza	1841				Kastamonu	Kastamonu eyâleti	Köy				Merkez	Daday	Kastamonu																																																						
Şotik	شوتيک	ÇOBANDERE						Nahiye	1877			Arapkir	Mamûretülaziz	Mamûretülaziz vilâyeti	Nahiye	1924				Arapkir	Malatya	Köy				Yoncalı	Arguvan	Malatya																																															
SÖYLEMEZ	سويلمز	Hacı Ömer, Mescitli						Nahiye	1865			Hınıs	Hınıs	Erzurum vilâyeti	Nahiye	1924				Hınıs	Erzurum	Nahiye	1937				Karayazı	Erzurum	Nahiye	~1990			Köprüköy	Erzurum																																									
SREBRENİÇE	سربرنيچه	Sreberniçe					https://www.wikidata.org/wiki/Q156053	Sancak	1580					Bosna eyâleti	Sancak	1600					Kanije eyâleti	Sancak merkezi	1866				İzvornik	Bosna vilâyeti	Kaza	~1870			İzvornik	Bosna vilâyeti																																									
ST. LAZARE	سنت لازار							Ada					Venedik	İtalya																																																													
STEPANAKERD	ستپناکرد						https://www.wikidata.org/wiki/Q129352	Şehir		Karabağ’ın merkezi.				Azerbaycan																																																													
SUÂKİN	سواکن	Cezire-i Suâkin						Sancak	1557					Habeş eyâleti	Kaza	1595				Cidde	Habeş eyâleti	Kasaba	1865				Nevbe	Mısır	Kasaba	1899				Sudan																																									
ŞUARÂVİYYE-İ GARBİYYE	شعراويهء غربيه							Kaza	1634				Nablus	Sayda eyâleti	Nahiye	1888			Benisa’b	Belka	Beyrut vilâyeti																																																						
ŞUARÂVİYYE-İ ŞARKİYYE	شعراويهء شرقيه							Nahiye	1888			Cenin	Lazkiye	Beyrut vilâyeti																																																													
SUBADRA	صوبادره							Nahiye		Doğanşehir’in Altıntop ve Söğüt köyleri civarında. Doğanşehir Çığlık k.yü de bu nahiyeye bağlı idi.		Besni	Gerger-Kâhta	Rum eyâleti																																																													
Şucâeddin	شجاع الدين	ULUKIŞLA						Kaza	18. yy.				Niğde	Karaman eyâleti	Nahiye	1864			Merkez	Niğde	Konya vilâyeti	Kaza	1924					Niğde																																															
SUÇATI	صوچاتی							Kaza merkezi	1924				Devrek	Zonguldak																																																													
Sudirhemi	صو درهمی	SİLLE						Nahiye	16. yy.			Merkez	Konya	Karaman eyâleti	Nahiye	1924				Merkez	Konya																																																						
ŞUF	شوف	Cedîde						Nahiye	1517				Şam	Arap vilâyeti	Kaza	1856				Cebel-i Dürzi	Sayda eyâleti	Kaza	1861					Cebel-i Lübnan sancağı																																															
ŞUFAR	شفار							Ada		Basra körfezinde.			Basra	Irak																																																													
ŞUFEYN	شوفين							Nahiye	1861				Şuf	Cebel-i Lübnan sancağı																																																													
SUĞRA	صغری							Nahiye	1867			Molova	Midilli	Cezayir-i Bahr-i Sefid	Nahiye	1913			Molova	Midilli	Yunanistan																																																						
SÜHREVERDÎ	سهروَردی							Kasaba						İran																																																													
ŞUHUT	شهود							Kaza	~1530				Karahisar-ı Sahib	Anadolu eyâleti	Kaza	1841				Karahisar-ı Sahib	Hudavendigâr eyâleti	Nahiye	1884			Merkez	Karahisar-ı Sahib	Hudavendigâr	Kaza	1946				Afyonkarahisar																																									
SUKA	سوقه							Sancak	1578					Çıldır eyâleti																																																													
SUKİNE	سوکنه							Kaza				Fizan	Trablusgarb	Libya																																																													
SÛKUŞ-ŞUYÛH	سوق الشيوخ							Kaza	1855				Müntefik	Bağdad maa Şehrizor eyâleti	Kaza					Basra	Irak																																																						
SULAK	صولاق							Niyâbet					Dağıstan	Rusya																																																													
SULAKYURT	صولاق يورد	Konur	Büyükşamlı					Kaza	1849				Ankara	Bozok eyâleti	Nahiye	1889			Kalecik	Ankara	Ankara vilâyeti	Kaza	1960					Ankara	Kaza	1989				Kırıkkale																																									
SULEYMA maa METİN	صليما مع متن							Kaza	1856				Cebel-i Nasara	Sayda eyâleti																																																													
Süleyman	سليمان	SÜLEYMANLAR						Nahiye	~1530			Birgi	Aydın	Anadolu eyâleti	Köy				Merkez	Ödemiş	İzmir																																																						
Süleyman.n	سليمانان	AKALAN						Sancak	1520					Diyarbakır eyâleti	Köy				Eğil	Merkez	Diyarbakır																																																						
SÜLEYMANBEY KANSU	سليمان بک قانصو							Sancak	1630					Yemen eyâleti																																																													
SÜLEYMANİYE	سليمانيه							Sancak	1855					Bağdad maa Şehrizor eyâleti	Sancak	1865					Bağdad vilâyeti	Sancak	1879					Musul vilâyeti																																															
SÜLEYMANLI	سليمانلی	Zeytin						Nahiye	1924				Göksun	Maraş	Nahiye					Merkez	Kahramanmaraş																																																						
