Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14
DERELİ	دره لی							Köy			Kırık	Giresun	Trabzon	Trabzon vilâyeti	Nahiye	1926				Merkez	Giresun	Kaza	1958					Giresun																																															
DEREPAZARI	دره بازاری							Nahiye					Merkez	Rize	Kaza	~1990					Rize																																																						
DERGÜL	درکول	Kumçatı						Kaza	16. yy.				Siirt	Diyarbakır eyâleti	Köy				Merkez	Şırnak	Siirt																																																						
DERGÜLE	درکله							Nahiye	1855			Merkez	Revandiz	Bağdad maa Şehrizor eyâleti																																																													
DERİB	دريب							Kaza	1847				Trablusşam	Sayda eyâleti																																																													
DERİK	دريک							Kaza					Diyarbakır	Diyarbakır eyâleti	Kaza	1867				Diyarbakır	Diyarbakır vilâyeti	Kaza	1926					Mardin																																															
DERİNCE	درينجه							Semt					Merkez	Kocaeli	Kaza	~1990					Kocaeli																																																						
DERİNKUYU	درين قويی	Melekûbi						Nahiye	~1530			Merkez	Niğde	Karaman eyâleti	Nahiye	1865			Merkez	Niğde	Konya vilâyeti	Nahiye					Nevşehir	Niğde	Nahiye	1924			Nevşehir	Kırşehir	Kaza	1960				Nevşehir																																			
DERİZBİN	ديرزبن	Acırlı						Köy		10. yy.’da bölgenin idare merkezi		Merkez	Midyat	Mardin																																																													
DERKÜŞ	درکوش							Kaza	16. yy.				Halep	Halep eyâleti																																																													
DERNE	درنه							Sancak	1883					Bingazi vilâyeti	Kaza	1888					Bingazi sancağı	Kaza	1912					İtalyan işgâli	Kaza	1951				Libya																																									
DERNEKPAZARI	درنک بازاری	Kondu						Nahiye					Çaykara	Trabzon	Kaza	~1990					Trabzon																																																						
DERRARYAN	دراريان							Nahiye	19. yy.			Merkez	Revandiz	Bağdad eyâleti																																																													
DERŞİFİ	درشيفی							Nahiye	1879			Merkez	Musul	Van vilâyeti																																																													
DERSİM	درسم	Hozat				Bu sancak bölgesinde 1935’te Tunceli vilâyeti kuruldu.		Sancak	1849					Diyarbakır eyâleti	Sancak	1857					Harput eyâleti	Sancak	1865					Erzurum vilâyeti	Sancak	1888-1923				Mamûretülaziz vilâyeti	Kaza	1926				Elâziz																																			
DERTENG	درتنگ							Sancak	17. yy.					Bağdad eyâleti																																																													
Derun	ديرون	DUTVEREN						Nahiye	1867			Silvan	Diyarbakır	Diyarbakır vilâyeti	Köy				Çatakköprü	Silvan	Diyarbakır																																																						
DEŞNİÇE	دشنيجه	Kalisura						Nahiye	1867			Permedi	Ergiri	Yanya vilâyeti	Nahiye	1923			Permedi	Ergiri	Arnavutluk																																																						
Deşt	دشت	BALPAYAM						Nahiye					Pülümür	Tunceli																																																													
DESTEK	دستک							Nahiye					Erbaa	Tokat	Nahiye	1953				Taşova	Amasya																																																						
DEŞTGÜR	دشتکور							Kaza	16. yy.				Diyarbakır	Diyarbakır eyâleti	Nahiye	1867			Derik	Diyarbakır	Diyarbakır vilâyeti																																																						
DEVASİR	دواسر							Kaza	1849				Basra	Bağdad maa Şehrizor eyâleti																																																													
DEVECİ	دوه جی							Nahiye	1865			Malkara	Tekfurdağı	Edirne vilâyeti	Köy	1926			Merkez	Malkara	Tekirdağ																																																						
DEVECİKONAĞI	دوه جی قوناغی							Nahiye					Mustafa Kemalpaşa	Bursa																																																													
DEVEGEÇİDİ	دوه کچيدی							Nahiye					Merkez	Diyarbakır																																																													
DEVELİ	دوه لی	Everek						Kaza	~1530				Niğde	Karaman eyâleti	Kaza	1846				Kayseri	Bozok eyâleti	Kaza	1867				Kayseri	Ankara vilâyeti	Kaza	1924				Kayseri																																									
DEVRAMA	دورامه							Kasaba						S. Arabistan																																																													
DEVREK	دورک	Hamidiye	Suçatı					Kaza	1887				Bolu	Kastamonu vilâyeti	Kaza	1924					Zonguldak																																																						
DEVREKÂNÎ	دورکانی							Nahiye	~1530			Merkez	Kastamonu	Anadolu eyâleti	Kaza	1841				Kastamonu	Kastamonu eyâleti	Nahiye	1865				Merkez	Kastamonu vilâyeti	Kaza	1944				Kastamonu																																									
DEYR	دير						https://www.wikidata.org/wiki/Q239097	Sancak merkezi	1882					Zor sancağı																																																													
DEYR maa RAHBE	دير مع رحبه							Sancak	1516					Diyarbakır eyâleti	Sancak	1830					Rakka eyâleti																																																						
DEYR-İ HARİR	دير حرير							Nahiye	1879			Revandiz	Kerkük	Musul vilâyeti																																																													
DEYR-İ MAKLUB	دير مقلوب							Nahiye	16. yy.			Merkez	Musul	Diyarbakır eyâleti																																																													
DEYR-İ SÜLEYMAN	ديرسليمان							Nahiye	1865			Cebel-i Kalamon	Şam	Suriye vilâyeti																																																													
DEYR-İ ŞUMAYYİL	دير شميل	Deyr-i Şumayyil el-Tahtanî						Kaza merkezi	1865			Hamidiye	Hama	Suriye vilâyeti																																																													
DEYRAYUN	ديرايون							Kasaba					Musul	Irak																																																													
DEYRE	ديره							Nahiye	1855			Revandiz	Şehrizor	Musul vilâyeti																																																													
DEYRİFOR	ديرفور							Nahiye	1865			Humus	Hama	Suriye vilâyeti																																																													
DEYRÜLAHMER	ديرالاحمر							Nahiye	1865			Balbek	Şam	Suriye vilâyeti																																																													
DEYRÜLKAMER	ديرالقمر						https://www.wikidata.org/wiki/Q613943	Sancak	1853					Sayda eyâleti	Kaza	19. yy.				Sayda	Sayda eyâleti	Sancak merkezi	1865					Cebel-i Lübnan sancağı	Nahiye	~1912				Cebel-i Lübnan sancağı																																									
DEYRÜŞEREŞ	ديرو شرش							Nahiye	1884			Kurna	Basra	Basra vilâyeti																																																													
DEYRUT	ديروت							Kasaba					Reşid	Mısır																																																													
DEYÛLE maa KORİŞ	ديوله مع قرش							Kaza	16. yy.				Konya	Karaman eyâleti	Köy		1928’de Kureyş şeklinde yazılmış. Şimdi ise Büyük Koraş ve Kü.ük Koraş köyleri var.		Ayrancı	Ereğli	Konya																																																						
DİÇE	دچه							Nahiye				Şatra	Müntefik	Basra vilâyeti																																																													
DİCLE	دجله	Piran						Nahiye	1923				Maden	Diyarbakır	Nahiye					Merkez	Diyarbakır	Kaza	1936					Diyarbakır																																															
DİCLE	دجله	Kocapınar						Nahiye					Cizre	Mardin	Nahiye	1990				Cizre	Şırnak																																																						
DİDİM	ديديم							Kaza		Söke’nin Akköy bucağı bölgesinde kuruldu ve bu bucağın köylerini aldı.				Aydın																																																													
DİFRON	ديفرون							Kaza	18. yy.				Hanya	Girit eyâleti	Kaza	1913					Yunanistan																																																						
DİGOR	ديغور							Nahiye	1926				Kağızman	Kars	Kaza	1953					Kars																																																						
DİGÜNLÜ	دکنلو							Nahiye	~1530			Merkez	Kemah	Rum eyâleti																																																													
DİH	ده							Kaza merkezi					Eruh	Siirt																																																													
DİKBIYIK	ديک بييق							Nahiye					Çarşamba	Samsun																																																													
DİKİLİ	ديکيلی							Nahiye					Bergama	İzmir	Kaza	1928					İzmir																																																						
DİKMEN	ديکمن	Yenicuma	Kırçal					Nahiye					Gerze	Sinop	Kaza	~1990					Sinop																																																						
DİLEKTEPE	ديلک تپه	Minar	Zeligar					Nahiye	1880			Şirvan	Siirt	Bitlis vilâyeti	Nahiye	1949				Baykan	Siirt																																																						
DİLLİABBAS	دللی عباس	Deli Abbas						Nahiye	1852			Horasan	Bağdad	Bağdad maa Şehrizor eyâleti																																																													
DİLMAN	ديلمان							Kasaba					Azerbaycan	İran																																																													
DİMBOVİÇE	ديمبوويچه							Kaza	1562				Büyük Eflâk	Eflâk eyâleti																																																													
DİMDERESİ	ديم دره سی							Nahiye	~1530			Merkez	Alâiye	Anadolu eyâleti																																																													
Dimetoka	ديمتوقه	GÜMÜŞÇAY	Güvercinlik					Kaza	~1841				Biga	Hudavendigâr eyâleti	Nahiye	1924				Biga	Çanakkale																																																						
DİMETOKA	ديمتوقه	Dimotika				Edirne’nin fethinden önce Osmanlı Devletinin birkaç ay başkenti olmuş		Sancak	1846					Edirne eyâleti	Kaza	1865				Edirne	Edirne vilâyeti	Kaza	1913					Bulgaristan	Kaza	1919				Yunanistan																																									
DIMIŞK	دِمِشق	Damas	Şam				https://www.wikidata.org/wiki/Q3766	Eyâlet merkezi	1520					Şam eyâleti	Vilâyet merkezi	1865					Suriye vilâyeti	Başkent		Şam önceleri bölge adı, merkezi de Dımışk idi. Bugün “Dımışk” Şam’ın diğer adı olarak bilinir.				Suriye																																															
Dimurta	ديمورطه	Yukarıdimurta	ÜZÜMÖREN					Nahiye	1865			Merkez	Tokat	Sivas vilâyeti	Kasaba				Pazar	Turhal	Tokat																																																						
DİMYAT	دمياط							Sancak	17. yy.					Mısır eyâleti	Kaza	1876				Garbiya	Mısır hidiviyeti	Muhafızlık						Mısır																																															
DİNADİ	دنادی							Nahiye				Merkez	Musul	Van eyâleti																																																													
DİNAR	دينار	Geyikler						Kaza	~1530				Kütahya	Anadolu eyâleti	Kaza	1842				Kütahya	Hudavendigâr eyâleti	Nahiye	~1909				Karahisar-ı Sahib	Hudavendigâr vilâyeti	Kaza	~1912				Afyonkarahisar																																									
Dinek	دنک	Dinek Keskini	KESKİN					Nahiye	16. yy.			Kırşehir	Bozok	Zülkadriye eyâleti	Kaza	1846				Ankara	Bozok eyâleti	Kaza	1924					Ankara	Kaza	1989				Kırıkkale																																									
DİNEK	دينک							Nahiye	1867			Mihalıççık	Ankara	Ankara vilâyeti	Köy				Merkez	Mihalıççık	Eskişehir																																																						
DİNEK	دينک							Nahiye	1926				Çumra	Konya																																																													
DİPSİZGÖL	ديپسز کول							Nahiye	1865			Koçkiri	Sivas	Sivas vilâyeti	Köy				Merkez	Zara	Sivas																																																						
DIRAC	دراج	Durazzo						Kaza	17. yy.				Elbasan	Rumeli eyâleti	Sancak	1881					İşkodra vilâyeti																																																						
DİRAĞAN	ديراغان							Kaza	1846				Tırnovi	Vidin eyâleti	Kaza	1908				Tırnovi	Bulgaristan																																																						
DİRBESAK	ديربساق							Nahiye	1517				Ayıntab	Arap vilâyeti																																																													
DİREKLİ	ديرکلی							Nahiye	1865			Yıldızeli	Sivas	Sivas vilâyeti	Nahiye	1924				Yıldızeli	Sivas																																																						
Dirgine	ديرکينه	YAZICIK						Köy				Merkez	Devrek	Zonguldak																																																													
DİRGİNE maa SEKİZDİVAN	ديرکينه مع سکيز ديوان							Kaza	1841				Bolu	Kastamonu eyâleti																																																													
DİRİN	درين							Nahiye	1875			Merkez	İşkodra	İşkodra vilâyeti	Nahiye	1913			Merkez	İşkodra	Arnavutluk																																																						
Dirmil	ديرميل	ALTINYAYLÂ						Nahiye	1924				Tefenni	Burdur	Nahiye	1953				Gölhisar	Burdur	Kaza	~1990					Burdur																																															
DİRONA	ديرونه							Köy			Yomra	Merkez	Trabzon	Rum eyâleti	Kaza merkezi	1959				Yomra	Trabzon																																																						
DİŞBAH	ديشبخ							Kaza	1855				Bedre	Bağdad maa Şehrizor eyâleti																																																													
DIŞLIK	ديشلق							Nahiye	1865			Merkez	Sivas	Sivas vilâyeti	Köy				Alacahan	Kangal	Sivas																																																						
DİŞNA	دشنی							Kasaba						Mısır																																																													
DİVANİYE	ديوانيه	Ed-Divaniye						Sancak	1851					Bağdad maa Şehrizor eyâleti	Kaza	1852				Hille	Bağdad																																																						
DİVRİĞİ	ديورکی							Sancak	17. yy.					Sivas eyâleti	Kaza	1867				Sivas	Sivas vilâyeti	Kaza	1924					Sivas																																															
DİVRİĞİ ve DARENDE	ديورکی ودارنده							Sancak	1517					Arap vilâyeti	Sancak	1520					Rum eyâleti																																																						
DİYADİN	ديادين							Kaza	1858				Bayazıt	Erzurum eyâleti	Kaza	1865				Bayazıt	Erzurum vilâyeti	Kaza	~1925					Bayazıt	Kaza	1938				Ağrı																																									
DİYALE	دياله	Mendeli					https://www.wikidata.org/wiki/Q1382440	Şehir					Bağdad	Irak																																																													
DİYAN	دييان							Nahiye	1865			Merkez	Kerek	Suriye vilâyeti																																																													
DİYAR-I MUDAR	ديار مضار	Rakka						Bölge						Suriye																																																													
DİYARBAKIR	ديار بکر	Diyar-ı Bekr	Âmid					Vilâyet	1517					Diyarbakır vilâyeti	Eyâlet	1520					Diyarbakır eyâleti	Vilâyet	1867					Diyarbakır vilâyeti																																															
Dize	ديزه	ÜZÜMCÜ						Kaza merkezi	1888			Gevar	Hakkâri	Van vilâyeti	Kaza merkezi	1936				Yüksekova	Hakkâri																																																						
DİZEYİ	ديزه يی							Nahiye	1879			Erbil	Şehrizor	Musul vilâyeti																																																													
DOBRİC	دوبريچ							Kaza					Ammara	Basra																																																													
DOBRİC	طوبريچ							Kaza merkezi	1867			Hindiye	Kerbelâ	Bağdad vilâyeti																																																													
DODURGA	طودرغه							Kasaba				Merkez	Osmancık	Çorum	Kaza	~1990					Çorum																																																						
DODURGA	طودرغه							Kaza	~1530				Bolu	Anadolu eyâleti	Köy				Merkez	Çerkeş	Çankırı																																																						
DODURGA	طودرغه							Nahiye					Bozüyük	Bilecik																																																													
DOĞAN	طوغان							Sancak	1593					Özü eyâleti																																																													
DOĞANBEY	طوغان بک							Nahiye					Seferihisar	İzmir	Köy				Merkez	Seferihisar	İzmir																																																						
DOĞANBEY	طوغان بک							Nahiye					Beyşehir	Konya																																																													
Doğanbey	طوغان بک	ATBURGAZI	Güllübahçe					Nahiye					Söke	Aydın																																																													
DOĞANBEYLİ	طوغان بکلی	Ermelik						Nahiye	1865			Kemah	Erzincan	Erzurum vilâyeti	Nahiye	1924				Kemah	Erzincan																																																						
DOĞANCA	طوغانجه	Harbur	Kezi					Nahiye					Pervari	Siirt																																																													
DOĞANÇAY	طوغانچای							Nahiye					Geyve	Sakarya																																																													
DOĞANHİSAR	طوغانحصار							Kaza	17. yy.				Konya	Karaman eyâleti	Nahiye	1865			Akşehir	Konya	Konya vilâyeti	Nahiye	1924				Akşehir	Konya	Kaza	1957				Konya																																									
DOĞANHİSAR	طوغانحصار							Nahiye	1865			Merkez	Dedeağaç	Edirne vilâyeti	Nahiye	1919			Merkez	Dedeağaç	Yunanistan																																																						
DOĞANKENT	طوغانکند	Harşit	Manastırbükü					Nahiye					Torul	Gümüşhane	Nahiye					Tirebolu	Giresun	Kaza	~1990					Giresun																																															
DOĞANKENT	طوغانکند	Mihmandar						Köy				Merkez	Merkez	Adana	Nahiye	1957				Karataş	Adana	Nahiye	~1990				Yüreğir	Adana																																															
DOĞANPINAR	طوغان پيکار	Haral						Köy				Ağcakoyunlu	Merkez	Gaziantep	Nahiye	1946				Oğuzeli	Gaziantep																																																						
DOĞANŞAR	طوغان شار	İpsile						Nahiye merkezi			Tozanlı	Hafik	Sivas	Sivas vilâyeti	Nahiye	1924				Hafik	Sivas	Kaza	~1990					Sivas																																															
DOĞANŞEHİR	طوغان شهر	Viranşehir						Köy				Sürgü	Akçadağ	Malatya	Nahiye	1929				Akçadağ	Malatya	Kaza	1946					Malatya																																															
DOĞANSU	طوغان صو	Sultanmut						Nahiye	1936				Patnos	Ağrı																																																													
DOĞANTEPE	طوغان تپه	Geldiklan	Zara					Nahiye	~1530			Merkez	Amasya	Rum eyâleti	Nahiye	1865			Merkez	Amasya	Sivas vilâyeti	Nahiye	1924				Merkez	Amasya																																															
DOĞANYOL	طوغان يول	Keferdiz						Nahiye	1875			Pütürge	Mamûretülaziz	Mamûretülaziz vilâyeti	Nahiye	1924				Pütürge	Malatya	Kaza	~1990					Malatya																																															
DOĞANYURT	طوغان يورد	Hoşalay	Meset					Kaza	~1841				Kastamonu	Kastamonu eyâleti	Nahiye	1865			Cide	Kastamonu	Kastamonu vilâyeti	Nahiye	1924				İnebolu	Kastamonu	Kaza	~1990				Kastamonu																																									
DOĞANYURT	طوغان يورد	Hayati						Nahiye	1865			Erbaa	Tokat	Sivas vilâyeti	Nahiye	1924				Erbaa	Tokat																																																						
DOĞRUYOL	طوغری يول	Cala						Nahiye	1926				Çıldır	Kars																																																													
DOĞUBAYAZIT	طوغی بايزيد	Bayazıt						Sancak	1578					Van eyâleti	Sancak	1845					Erzurum eyâleti	Sancak	1865					Erzurum vilâyeti	Vilâyet	~1925				Bayazıt vilâyeti	Kaza	1927				Karaköse vilâyeti	Kaza	1938			Ağrı																														
DÖKMETEPE	دوکمه تپه	Ahur						Nahiye					Turhal	Tokat																																																													
DOKURCUN	دوقورجون	Yeniköy						Nahiye					Akyazı	Sakarya																																																													
DOLAŞDIR	دولاشدير							Nahiye	1865			Eğridere	Gümülcine	Edirne	Nahiye	1913			Eğridere	Kırcaali	Bulgaristan																																																						
DOMANCA	طومانجه							Nahiye	1867			Söke	Aydın	Aydın vilâyeti	Nahiye		Lağvedilmiş			Söke	Aydın																																																						
DOMANİÇ	طومانيچ	Hisar						Kaza	~1530				Hudavendigâr	Anadolu eyâleti	Nahiye	1865			İnegöl	Ertuğrul	Hudavendigâr vilâyeti	Kaza	1960					Kütahya																																															
DOMBAYOVA	دومبای اووه	Dombay	Uluköy					Nahiye					Dinar	Afyon																																																													
DÖMEKE	دومکه	Domoko						Kasaba					Teselya	Yunanistan																																																													
DOMİNE	دومنه							Kaza merkezi	1866			Jobanyaç	Travnik	Bosna vilâyeti																																																													
DOMNİK	دومنيک							Nahiye	1889			Alasonya	Serfiçe	Manastır	Nahiye	1913			Alasonya	Serfiçe	Yunanistan																																																						
DONGALA	دونغله							Müdiriyet						Mısır																																																													
DONYA	دونيه							Nahiye	1874			Pirlepe	Manastır	Manastır	Nahiye	1913			Pirlepe	Manastır	Makedonya																																																						
DORCA	دورجه							Nahiye	1874			Ohri	Manastır	Manastır vilâyeti	Nahiye	1913			Ohri	Manastır	Makedonya																																																						
DOROHOY	دوروهوی							Sancak	1455				Boğdan	Romanya																																																													
DÖRTDİVAN	دورت ديوان	Çavuşlar						Kaza	~1841				Bolu	Kastamonu eyâleti	Nahiye	1924				Gerede	Bolu	Kaza	~1990					Bolu																																															
DÖRTYOL	دورتيول							Kaza	1877				Cebelibereket	Adana vilâyeti	Kaza	1924					Cebelibereket	Kaza	1933					Adana	Kaza	1939				Hatay																																									
DORUTAY	دوروتای	Taşrumi						Nahiye					Özalp	Van																																																													
DÖŞEMEALTI	دوشمه آلتی	Yeniköy						Nahiye					Merkez	Antalya																																																													
DOSPAT	دوسپاط	Baronya						Nahiye	1867			Rupçoz	Drama	Selânik vilâyeti	Nahiye	1913				Rupçoz	Bulgaristan																																																						
DOSTKİ	دوستکی	Befrican						Nahiye		Aşiret adıdır. Lağvedilmiş. Merkezi olan Befrican = Karlı şimdi Yüksekova’nın merkez bucağına bağlı.			Yüksekova	Hakkâri																																																													
DÖVLEN	دوولن	Devin						Kaza merkezi	1867			Rupçoz	Drama	Selânik vilâyeti	Kaza	1913				Paşmaklı	Bulgaristan																																																						
DOYRAN	طويران							Kaza	1867				Selânik	Selânik vilâyeti																																																													
DRAMA	درامه							Sancak	1867					Selânik vilâyeti	Sancak	1913				Selânik	Yunanistan																																																						
DRANOVA	درانوه							Ada		Tuna deltası karşısında.			Dobruca	Romanya																																																													
DUBROVNİK	دوبروونيق	Ragusa						Kaza	1440				Hersek	Bosna	Kaza	1814					Avusturya	Kaza						Yugoslavya	Kaza					Bosna-Hersek																																									
DÜĞER	دوگر							Kaza	1811				Menteşe	Aydın eyâleti	Köy				Kemer	Fethiye	Muğla																																																						
DÜĞER	دوگر	DüĞerli						Nahiye	1867			Merkez	Urfa	Halep vilâyeti	Köy				Ovacık	Hilvan	Şanlıurfa																																																						
DUKAKİN	دوقه کين	Ducjean						Kaza					İşkodra	Rumeli eyâleti	Sancak	1520					Rumeli eyâleti	Sancak		Dukakin aslında bir hanedan adıdır. Şimdi Arnavutluk’ta Dirin nehri kenarında bir nahiyedir. Arnavutluk fetholunduğunda bu aile Müslüman olmuştur. Leş=Lezhe kazası eski Dukakin sancağının yerinde kurulmuştur.				Arnavutluk																																															
DUKAT	دوقات							Köy		Arnavutların bir kolu olan “Laplar”ın merkezi hükmünde büyük ve tarihi bir k.ydür.	Paşalimanı	Avlunya	Berat	Yanya																																																													
DULÇURAN	دولچوران							Sancak	- 1830					Şehrizor eyâleti																																																													
DÜLEYM	دليم	Kal’atürremad						Sancak	1855					Bağdad maa Şehrizor eyâleti	Sancak	~1860					Bağdad eyâleti	Kaza	1867				Bağdad	Irak																																															
DÜLGE	دولکه							Nahiye	1855			Merkez	Revandiz	Bağdad maa Şehrizor eyâleti																																																													
DULKANİ	دلکانی							Nahiye	1855			İmadiye	Musul	Van eyâleti																																																													
DÜLÜK	دولوک					Hicri 800’lerde Gaziantep şimdiki yerinde kuruluncaya kadar “Dülük” bu yörenin antik ve en önemli merkezi idi.		Köy				Merkez	Merkez	Gaziantep																																																													
DUMA	دوما							Kaza merkezi	1865			Cebel-i Kalamon	Şam	Suriye vilâyeti																																																													
DUMBELİ	دومبه لی	Donbali	Sökmenâbâd					Sancak	1585					Van eyâleti	Nahiye					Hoy	İran																																																						
DÜMETÜLCENDEL	دومة الجندل							Kasaba					Medine	Hicaz																																																													
DUMKULA	دمقوله	Domgola						Kasaba						Mısır																																																													
DUMLU	طوملی	Hins						Nahiye					Merkez	Erzurum																																																													
DÜMLÜÇ	دومليچ	Çiçekli						Nahiye	~1530			Suşehri	Karahisar-ı Şarkî	Rum eyâleti	Köy				Akıncılar	Suşehri	Sivas																																																						
DUMLUCA	طومليجه							Nahiye	~1530			Divriği	Divriği-Darende	Rum eyâleti	Köy				Merkez	Divriği	Sivas																																																						
DUMLUPINAR	طوملی پيکار							Köy			Merkez	Merkez	Kütahya	Anadolu eyâleti	Nahiye		Cumhuriyetten sonra			Altıntaş	Kütahya	Kaza	~1990					Kütahya																																															
DÛN	دون							Nahiye	1871			Konfeda	Asir	Yemen vilâyeti																																																													
DUNA-VESSE	دوناوسه							Kasaba				Sület	Peşte	Macaristan																																																													
DÜNDARLU VE BULGARLI	دندارلو وَ بلغارلو							Nahiye		Sarıçam ile Seyhan nehri arasında idi.		Adana	Adana	Arap vilâyeti																																																													
DÜNDARLU-YI KEBİR	دندارلوی کبير							Kaza	~1530				Adana	Anadolu eyâleti																																																													
DÜNEYSİR	دنيسر							Kasaba						Irak																																																													
DUPNİÇE	دوپنيچه	Stanke-Dimitrov						Kaza	1878				Köstendil	Bulgaristan Prensliği	Kaza	1908				Sofya	Bulgaristan																																																						
DUPNİÇE maa CUMA	دوپنيچه مع جمعه							Kaza	1846				Samako	Niş eyâleti																																																													
DURAÇLU	دراچلو							Nahiye	~1530			Merkez	Mardin	Diyarbakır eyâleti																																																													
DURAĞAN	طوراغان							Kaza	~1530				Kastamonu	Anadolu eyâleti	Nahiye	1865			Boyabat	Sinop	Kastamonu vilâyeti	Kaza	1954					Sinop																																															
DURAĞANHİSAR	طوراغان حصار							Nahiye	1865			Merkez	Dedeağaç	Edirne	Nahiye	1919			Merkez	Dedeağaç	Yunanistan																																																						
DURAK	دوراق							Nahiye	1953				Kepsut	Balıkesir																																																													
DURAMAN	دورامان							Sancak	1855					Şehrizor eyâleti																																																													
DURDUL	دوردول							Nahiye	~1530			Divriği	Divriği-Darende	Rum eyâleti																																																													
DURSUNBEY	طورسون بک	Balat						Nahiye				Merkez	Karesi	Hudavendigâr vilâyeti	Kaza	1919					Müstakil Karesi sancağı	Kaza	1924					Balıkesir																																															
DURUCİN	دوريجين							Nahiye	1865			Koçkiri	Sivas	Sivas vilâyeti																																																													
DÜŞENBE	دوشنبه							Nahiye	19. yy.			Alâiye	Teke	Konya vilâyeti	Nahiye	1914	1915’te kaldırılarak bunun yerine “Taşağıl” nahiyesi kuruldu.			Manavgat	Teke sancağı																																																						
DÜŞENBE maa SENİR	دوشنبه مع سگر							Kaza	16. yy.				Alâiye	Karaman eyâleti																																																													
DUŞKAT	دشقاط							Nahiye	1889			Alasonya	Serfiçe	Manastır	Nahiye	1913				Alasonya	Yunanistan																																																						
DÜSUK	دسوق							Kasaba						Mısır																																																													
DUTLUCA	طودليجه	Aşutka						Nahiye					Kemaliye	Erzincan																																																													
DÜVERTEPE	دوور تپه							Nahiye	1913				Sındırgı	Balıkesir																																																													
DUVEYRA	دويره							Kasaba						Cezayir																																																													
DÜZCE	دوزجه	Konurâbâd						Kaza	~1530				Bolu	Anadolu eyâleti	Kaza	1865				Bolu	Kastamonu vilâyeti	Kaza	1924					Bolu	Vilâyet	1999				Düzce																																									
DÜZCE maa SELVE	دوزجه مع سلوه							Kaza	1466				Ohri	Rumeli eyâleti	Kaza	1913				Ohri	Makedonya																																																						
DÜZİÇİ	دوز ايچی	Haruniye						Nahiye					Bahçe	Adana	Kaza	1996					Osmaniye																																																						
DÜZKÖY	دوز کوی	Haçka						Nahiye					Akçaâbâd	Trabzon	Kaza	~1990					Trabzon																																																						
EBDİR	ابدير							Nahiye	1867			Divaniye	Hille	Bağdad vilâyeti																																																													
Ebher	ابهر	Eber	DOĞANKÖY					Köy ve göl				Merkez	Çay	Afyon																																																													
EBLAH	ابلخ							Nahiye				Yenbu‘ülbahr	Medine	S. Arabistan																																																													
EBSEMOL	ابسمول							Kaza					Nevbe	Mısır																																																													
Ebû Tahir	ابو طاهر	DOĞANBAĞI						Nahiye	16. yy.			Merkez	Çermik	Diyarbakır eyâleti	Nahiye	1834			Merkez	Harput	Harput eyâleti	Kaza	~1840			Maadin	Harput	Harput eyâleti	Köy			Gözeli	Sivrice	Elâzığ																																									
EBÛARİŞ	ابو عريش							Kaza	1539				Asir	Yemen eyâleti	Sancak	1842					Yemen eyâleti	Kaza	1852				Asir	Yemen eyâleti	Sancak	1868				Yemen vilâyeti	Kaza	1899			Hudeyde	Yemen vilâyeti																																			
EBÛCEVARİR	ابو جوارير							Nahiye	1865			Semave	Divaniye	Bağdad																																																													
EBUFÜLFÜL	ابو فلفل							Nahiye	1865			Bab	Halep	Halep vilâyeti																																																													
EBÛGARİB	ابو غريب							Kaza	17. yy.				Bağdad	Bağdad maa Şehrizor eyâleti																																																													
EBÛKELENK	ابو کلنک							Kaza	1865			Divaniye	Şehrizor	Bağdad vilâyeti																																																													
EBULHASİB	ابو الحصيب							Nahiye	1884			Merkez	Basra	Basra vilâyeti																																																													
EBULHAYR	ابو الخير							Nahiye	~1530			Bayramlı	Canik	Rum eyâleti																																																													
Ebülhayr	ابو الخير	GÜLYALI						Kasaba				Merkez	Merkez	Ordu	Kaza	~1990					Ordu																																																						
