Placename@tr	Lead entry?	ottgaz_id	Placename@ota	Placename_2@tr	Placename_2@ota	Placename_3@tr	Placename_3@ota	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Sequence	Unit	StartDate	StartPeriod	EndDate	UnitNotes	belongsTo4	belongsTo3	belongsTo2	belongsTo1	belongsTo1_code
Adaören	y	10016	آطه ويران	Adaviran							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	 	 	 	 	 	 	Beypazarı	Ankara	 
														2	Köy	 	 	 	 	 	Merkez	Beypazarı	Ankara	 
Adapazarı	y	5018	آطه پازاری	Ada							http://www.geonames.org/ontology#A.ADMD		https://www.wikidata.org/wiki/Q175323	1	Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1878	 	 	 	Kocaeli	Anadolu eyâleti	101
														2	Kaza	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	1924	 	 	 	Kocaeli	Şehremâneti	 
														3	Kaza	1924	Turkish Republic	1954	 	 	 	 	Kocaeli	 
														4	Vilâyet merkezi	1954	Turkish Republic	 	 	 	 	 	Sakarya	 
Adem	y	20052	آدم								http://www.geonames.org/ontology#A.ADMD	Not		1	Nahiye	 	 	 	Bahreyn ve Umman’da da bu adda nahiyeler vardır	 	 	Hicaz	S. Arabistan	 
Aden	y	1006	عدن								http://www.geonames.org/ontology#A.ADMD			1	Sancak	1539	http://n2t.net/ark:/99152/p0pf2qb689b	1630	 	 	 	Taizz	Yemen eyâleti	181
														2	Kaza	1630	http://n2t.net/ark:/99152/p0pf2qbnnn2	 	 	 	 	Taizz	Yemen eyâleti	 
Adesse	y	20053	آدسّه	Vodina							http://www.geonames.org/ontology#A.ADMD	Not		1	Kaza	 	 	 	 	 	Selânik	Selânik	Yunanistan	 
Adi̇d	y	5019	عديد								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1875	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Katar	Basra	Basra vilâyeti	108
Adi̇lcevaz	y	1007	عادلجواز								http://www.geonames.org/ontology#A.ADMD			1	Sancak	1550	http://n2t.net/ark:/99152/p0pf2qb689b	1846	 	 	 	 	Van eyâleti	175
														2	Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1912	 	 	 	Van	Van eyâleti	 
														3	Kaza	1912	http://n2t.net/ark:/99152/p0pf2qb3rtq	1926	 	 	 	Van	Van vilâyeti	 
														4	Nahiye	1926	Turkish Republic	1936	 	 	 	Ahlat	Bitlis	 
