Placename@tr	Lead entry?	ottgaz_id	Placename@ota	Placename_2@tr	Placename_2@ota	Placename_3@tr	Placename_3@ota	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Sequence	Unit	StartDate	StartPeriod	EndDate	UnitNotes	belongsTo4	belongsTo3	belongsTo2	belongsTo1	belongsTo1_code
Komeni̇çe	y	6629	کومنجه								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Yenice-i Vardar	Selânik	Selânik vilâyeti	163
Komi̇	y	20247	قومی									Not		1	Kasaba	 	 	 	Ağrıboz adasında.	 	 	 	Yunanistan	 
Kömür	y	20120	کومور	Goemoer		Groş Stefeldrof					http://www.geonames.org/ontology#A.ADMD	Not		1	Eyâlet	 	 	 	 	 	 	 	Macaristan	 
Kömürlü	y	15425	کومورلی	Göllet							http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		1	Nahiye	1946	Turkish Republic	 	 	 	 	Şenkaya	Erzurum	 
Kömürn	y	20121	کومورن	Koemoern							http://www.geonames.org/ontology#A.ADMD	Not		1	Eyâlet	 	 	 	 	 	 	 	Macaristan	 
Konağı	n	10946	قوناغی	KONAKLI							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	~1597	http://n2t.net/ark:/99152/p0pf2qb5mst	1924	 	 	Çermik	Erganimadeni	Diyarbakır eyâleti	121
														2	Nahiye	1924	Turkish Republic	 	 	 	Merkez	Çermik	Diyarbakır	 
Konak	y	6630	قوناق								http://www.geonames.org/ontology#A.ADMD			1	Kaza	~1990	Turkish Republic	 	 	 	 	 	İzmir	 
Konakkuran	y	10947	قوناق قوران	Düğnük							http://www.geonames.org/ontology#P.PPLG			1	Nahiye merkezi	 	 	 	 	 	Nurettin	Malazgirt	Muş	 
Konakpınar	y	10948	قوناق پيکار								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1910	http://n2t.net/ark:/99152/p0pf2qb3rtq	 	 	 	 	Merkez	Balıkesir	 
Konakpınar	y	6631	قوناق پيکار								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	 	 	 	Gürün	Sivas	 
Kondu	y	10949	قوندی								http://www.geonames.org/ontology#P.PPLG			1	Köy	 	 	 	 	 	Merkez	Of	Trabzon	 
														2	Nahiye merkezi	 	 	 	 	 	Dernekpazarı	Çaykara	Trabzon	 
Konefki̇rşen	y	20028	قونفکيرشن								http://www.geonames.org/ontology#P.PPLG	Not		1	Şehir	 	 	 	 	 	 	 	Macaristan	 
Konfuda	y	6632	قونفوده								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1873	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	Asir	Yemen vilâyeti	181
Köni̇	y	6633	کونی	Sarıgöl							http://www.geonames.org/ontology#A.ADMD			1	Kaza	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	 	 	 	 	Kastamonu	Kastamonu eyâleti	141
Koni̇ Maa Çerkeş	y	6634	کونی مع چرکش								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1849	http://n2t.net/ark:/99152/p0pf2qb8jmh	 	 	 	 	Kengırı	Kastamonu eyâleti	141
Koni̇çe	y	6635	قونيچه								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	Yanya	Yanya vilâyeti	180
Koni̇çe	y	6636	قونيچه								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1866	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	Hersek	Bosna vilâyeti	113
Konur	y	6638	قوگور								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	 	 	 	Kırşehir	Bozok	Zülkadriye eyâleti	183
Konuralp	y	15173	قوگور آلپ	Üskübü							http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		1	Nahiye	1924	Turkish Republic	1999	 	 	 	Düzce	Bolu	 
														2	Nahiye	1999	Turkish Republic	 	 	 	 	Merkez	Düzce	 
Konurapa	n	1290	قوگور آپا	BOLU						Bolu’yu fetheden ve ilk sancak beyi olan “Konuralp”ın adına izafeten	http://www.geonames.org/ontology#A.ADMD			1	Sancak	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	 	 	 	 	 	Anadolu eyâleti	101
Konya	y	144	قونيه								http://www.geonames.org/ontology#A.ADMD			1	Sancak	1483	http://n2t.net/ark:/99152/p0pf2qb7g22	1865	 	 	 	 	Anadolu eyâleti	101
														2	Vilâyet	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	 	Konya	 
Konya	y	620	قونيه								http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q79857	1	Eyâlet merkezi	1514	http://n2t.net/ark:/99152/p0pf2qbznht	 	 	 	 	 	Karaman eyâleti	139
Kop	y	10950	قوپ								http://www.geonames.org/ontology#P.PPLG			1	Kaza merkezi	 	 	 	 	 	 	Bulanık	Muş	 
Kopan	y	1291	قوپان	Koppany							http://www.geonames.org/ontology#A.ADMD			1	Sancak	1554	http://n2t.net/ark:/99152/p0pf2qb689b	1600	 	 	 	 	Budin eyâleti	 
														2	Sancak	1600	http://n2t.net/ark:/99152/p0pf2qb5mst	1686	 	 	 	 	Kanije eyâleti	 
														3	Sancak	1686	http://n2t.net/ark:/99152/p0pf2qbk5vq	 	 	 	 	 	Macaristan	 
Köprü	y	6326	کوپری	VEZİRKÖPRÜ		Gedegara	کده غره				http://www.geonames.org/ontology#A.ADMD			1	Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1847	 	 	 	Canik	Rum eyâleti	155
														2	Kaza	1847	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865	 	 	 	Amasya-Çorum	Sivas eyâleti	 
														3	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924	 	 	 	Amasya	Sivas vilâyeti	 
														4	Kaza	1924	Turkish Republic	 	 	 	 	 	Samsun	 
Köprü Maa Praki̇n	y	6639	کوپری مع پراکين								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1812	http://n2t.net/ark:/99152/p0pf2qbzg6v	 	 	 	 	 	Sırp eyâleti	165
Köprübaşı	y	15426	کوپری باشی	Şark.güneşera							http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		1	Nahiye	 	 	~1990	 	 	 	Sürmene	Trabzon	 
														2	Kaza	~1990	Turkish Republic	 	 	 	 	 	Trabzon	 
Köprübaşı	y	15427	کوپری باشی								http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		1	Nahiye	 	 	~1990	 	 	 	Gördes	Manisa	 
														2	Kaza	~1990	Turkish Republic	 	 	 	 	 	Manisa	 
Köprübaşı	y	6640	کوپری باشی	Elemi							http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	 	 	 	Vezirköprü	Samsun	 
Köprüköy	y	15174	کوپری کوی								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		1	Nahiye merkezi	 	 	~1990	 	 	Çobandede	Pasinler	Erzurum	 
														2	Kaza	~1990	Turkish Republic	 	 	 	 	 	Erzurum	 
Köprülü	y	6641	کوپريلی	Titov Veles							http://www.geonames.org/ontology#A.ADMD			1	Kaza	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1913	 	 	 	Selânik	Selânik vilâyeti	163
														2	Kaza	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq	 	 	 	 	Selânik	Yunanistan	 
Köprülü	y	6642	کوپريلی	Girenes							http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1914	http://n2t.net/ark:/99152/p0pf2qb3rtq	1936	 	 	 	Alanya	Antalya	 
														2	Nahiye	1936	Turkish Republic	 	 	 	 	Gündoğmuş	Antalya	 
Köprüören	y	15175	کوپری ويران								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		1	Nahiye	 	 	 	 	 	 	Merkez	Kütahya	 
Koramaz	y	10951	قوراماز								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	 	 	 	Gesi bucağının Subaşı=.sgübü köyü civarı.	 	Merkez	Kayseri	Karaman eyâleti	139
Kordufan	y	6643	قوردوفان	Ubeyd							http://www.geonames.org/ontology#A.ADMD			1	Müdiriyet	 	 	 	 	 	Sudan-ı Mısrî	 	Mısır eyâleti	149
Korendos	y	10952	قرندوس								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Merkez	Yanya	Yanya vilâyeti	180
Korent	y	6644	قورنته								http://www.geonames.org/ontology#A.ADMD			1	Kaza	 	 	 	 	 	 	 	Korentiya maa Argolida eyâleti	 
														2	Kaza	 	 	 	 	 	 	Mora	Yunanistan	 
Körfez	y	6645	کورفز								http://www.geonames.org/ontology#A.ADMD			1	Kaza	~1990	Turkish Republic	 	 	 	 	 	Kocaeli	 
Korfu	y	20248	قورفو	Kerkyra = Korfoz								Not		1	Eyâlet (ada)	 	 	 	Arnavutluk sınırında.	 	 	 	Yunanistan	 
Korgan	y	10953	قورغان	Keşderesi							http://www.geonames.org/ontology#P.PPLG			1	Köy	 	 	1946	 	 	Merkez	Fatsa	Ordu	 
														2	Nahiye	1946	Turkish Republic	1960	 	 	 	Fatsa	Ordu	 
														3	Kaza	1960	Turkish Republic	 	 	 	 	 	Ordu	 
Korgun	y	15176	قورغون								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		1	Nahiye	 	 	~1990	 	 	 	Merkez	Çankırı	 
														2	Kaza	~1990	Turkish Republic	 	 	 	 	 	Çankırı	 
Kori̇n	y	20122	قورين								http://www.geonames.org/ontology#A.ADMD	Not		1	Kaza	 	 	 	 	 	 	Dağıstan	Rusya	 
Korkut	y	10954	قورقود	Azakpur	آزاقپور	Til					http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1884	http://n2t.net/ark:/99152/p0pf2qbx98x	1926	 	 	Merkez	Muş	Bitlis vilâyeti	110
														2	Nahiye	1926	Turkish Republic	1929	 	 	 	Muş	Bitlis	 
														3	Nahiye	1929	Turkish Republic	~1990	 	 	 	Merkez	Muş	 
														4	Kaza	~1990	Turkish Republic	 	 	 	 	 	Muş	 
Korkuteli̇	y	10955	قورقود ايلی	İstanos	استانوس						http://www.geonames.org/ontology#P.PPLG			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1914	 	 	Merkez	Teke	Anadolu eyâleti	101
														2	Kaza	1914	http://n2t.net/ark:/99152/p0pf2qb3rtq	1924	 	 	 	 	Teke sancağı	 
														3	Kaza	1924	Turkish Republic	 	 	 	 	 	Antalya	 
Korladi̇k	y	1292	کورلادک							Bazı kaynaklarda Korlauk, Körlevat şekillerinde geçmiş	http://www.geonames.org/ontology#A.ADMD			1	Sancak	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq	 	 	 	 	 	Van eyâleti	175
Koroleş	y	6646	قورولش	Koç							http://www.geonames.org/ontology#A.ADMD			1	Kaza	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	Ergiri	Yanya vilâyeti	180
Korom	y	6647	قوروم								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	1928’de nahiyedir. Lağvedilmiş. İki köyü halen Gümüşhane Merkeze, iki köyü de Torul merkeze bağlı.	 	 	Torul	Gümüşhane	 
Koron	y	1293	قورون	Korone							http://www.geonames.org/ontology#A.ADMD			1	Sancak	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq	1827	 	 	 	 	Cezayir-i Bahr-i Sefid eyâleti	118
														2	Sancak	1827	http://n2t.net/ark:/99152/p0pf2qbzg6v	 	 	 	 	Mora	Yunanistan	 
Korucu	y	10956	قوروجی								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq	1944	 	 	 	Merkez	Balıkesir	 
														2	Nahiye	1944	Turkish Republic	 	 	 	 	İvrindi	Balıkesir	 
Korukavak	y	6648	قوری قواق								http://www.geonames.org/ontology#A.ADMD			1	Kaza	~1840	http://n2t.net/ark:/99152/p0pf2qb8jmh	 	 	 	 	Viranşehir	Kastamonu eyâleti	141
Korupazar-ı Nallu	y	6649	قوری بازار نعللو								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	 	 	 	Beypazarı	Hudavendigâr	Anadolu eyâleti	101
Korupazarı	y	6650	قوری بازاری							Karıpazarı ile aynı yer olabilir.	http://www.geonames.org/ontology#A.ADMD			1	Kaza	1849	http://n2t.net/ark:/99152/p0pf2qb8jmh	 	 	 	 	Kengırı	Bozok eyâleti	114
Köse	y	15428	کوسه	Çiftlik							http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		1	Nahiye	1924	Turkish Republic	~1990	 	 	 	Kelkit	Gümüşhane	 
														2	Kaza	~1990	Turkish Republic	 	 	 	 	 	Gümüşhane	 
Kösefakılı	y	6651	کوسه فاقيهلی								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	 	 	 	Çiçekdağı	Kırşehir	 
Köşk	y	10957	کوشک								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1811	 	 	Merkez	Aydın	Anadolu eyâleti	101
														2	Kaza	1811	http://n2t.net/ark:/99152/p0pf2qbzg6v	1867	 	 	 	Merkez	Aydın eyâleti	 
														3	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1924	 	 	 	Merkez	Aydın vilâyeti	 
														4	Nahiye	1924	Turkish Republic	~1990	 	 	 	Merkez	Aydın	 
														5	Kaza	~1990	Turkish Republic	 	 	 	 	 	Aydın	 
Kosova	y	145	قوصوه	Priştine							http://www.geonames.org/ontology#A.ADMD			1	Vilâyet	 	 	1913	 	 	 	 	Kosova vilâyeti	145
														2	Vilâyet	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq	 	 	 	 	 	Sırbistan	 
Kösreli̇	y	6653	کوسره لی								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	 	 	 	Ceyhan	Adana	 
Kostani̇çe	y	6654	قوستانيچه								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1866	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	Banaluka	Bosna vilâyeti	113
Kostani̇çe Maa Kozarca	y	6655	قوستانيچه مع قوزارجه								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1580	http://n2t.net/ark:/99152/p0pf2qbb9h8	 	 	 	 	Bihke	Bosna eyâleti	113
Kostanti̇ne	y	6656	قوستانطينه	Coustantine							http://www.geonames.org/ontology#A.ADMD			1	Eyâlet	 	 	 	 	 	 	 	Cezayir	 
Köstence	y	1565	کوستنجه	Costanta		Koustanitza		Tekfurgölü			http://www.geonames.org/ontology#A.ADMD			1	Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1861	 	 	 	Varna	Silistre eyâleti	164
														2	Sancak	1861	http://n2t.net/ark:/99152/p0pf2qbtdts	1864	 	 	 	 	Silistre eyâleti	 
														3	Kaza	1864	http://n2t.net/ark:/99152/p0pf2qbtdts	1913	 	 	 	Tulca	Tuna vilâyeti	 
														4	Kaza	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq	 	 	 	 	 	Romanya	 
Köstendi̇l	y	231	کوستنديل								http://www.geonames.org/ontology#A.ADMD			1	Sancak	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	1908	 	 	 	 	Bulgaristan eyâleti	115
														2	Vilâyet	1908	http://n2t.net/ark:/99152/p0pf2qbx98x	 	 	 	 	 	Bulgaristan	 
Köstendi̇l	y	1294	کوستنديل	Kyustendil							http://www.geonames.org/ontology#A.ADMD			1	Sancak	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b	1846	 	 	 	 	Rumeli eyâleti	156
														2	Sancak	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	 	 	 	 	 	Niş eyâleti	 
Köstendi̇l Maa Ilıca	y	6657	کوستنديل مع ايليجه								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	 	 	 	 	Sofya	Bulgaristan eyâleti	115
Köstere	n	6658	کوستره	TOMARZA							http://www.geonames.org/ontology#A.ADMD			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	16. yy.	 	 	Kars	Maraş	Zülkadriye eyâleti	183
														2	Kaza	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b	1846	 	 	 	Kayseri	Karaman eyâleti	 
														3	Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1867	 	 	 	Kayseri	Bozok eyâleti	 
														4	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1924	 	 	Develi	Kayseri	Ankara vilâyeti	 
														5	Nahiye	1924	Turkish Republic	1953	 	 	 	Develi	Kayseri	 
														6	Kaza	1953	Turkish Republic	 	 	 	 	 	Kayseri	 
Koşukavak	y	10958	قوشيقواق	Krumov-grad							http://www.geonames.org/ontology#P.PPLG			1	Kaza merkezi	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1919	 	 	Sultanyeri	Gümülcine	Edirne	 
														2	Kaza	1919	http://n2t.net/ark:/99152/p0pf2qbw2zt	 	 	 	 	Kırcaali	Yunanistan	 
Kosun	y	6659	قصون								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1517	http://n2t.net/ark:/99152/p0pf2qbznht	 	Gülek bucağı bu kazaya bağlı idi.)	 	 	Tarsus	Arap vilâyeti	103
Kötek	y	15429	کوتک								http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		1	Nahiye	1924	Turkish Republic	 	 	 	 	Kağızman	Kars	 
Kotel	y	10959	قوتل								http://www.geonames.org/ontology#P.PPLG			1	Kaza merkezi	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	1908	 	 	Kazan	İslimiye	Rumeli-i Şarkî	 
														2	Kaza merkezi	1908	http://n2t.net/ark:/99152/p0pf2qbx98x	 	 	 	Kazan	İslimiye	Bulgaristan	 
Kotor	y	1295	قطور	Kotar							http://www.geonames.org/ontology#A.ADMD			1	Sancak	15. yy.	http://n2t.net/ark:/99152/p0pf2qbcrrw	 	 	 	 	 	Rumeli eyâleti	156
Kotum	n	6660	قوتوم	KÜÇÜKSU							http://www.geonames.org/ontology#A.ADMD			1	Nahiye	 	 	 	 	 	 	Tatvan	Bitlis	 
Kotur	y	1296	قطور	Vâdi-i Beni Kotur		Vâdi-i Kotur					http://www.geonames.org/ontology#A.ADMD			1	Sancak	~1568	http://n2t.net/ark:/99152/p0pf2qb8jrp	1850	 	 	 	 	Van eyâleti	175
														2	Kaza	1850	http://n2t.net/ark:/99152/p0pf2qb8jmh	1876	 	 	 	Van	Hakkâri eyâleti	 
														3	Kaza	1876	http://n2t.net/ark:/99152/p0pf2qbx98x	1878	 	 	 	Hakkâri	Van eyâleti	 
														4	Kasaba	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	 	 	 	Hoy	Azerbaycan vilâyeti	İran	 
Kovancılar	y	15548	قوانجيلر									Republic of Turkey		1	Kasaba	 	 	~1990	 	 	Merkez	Palu	Elâzığ	 
														2	Kaza	~1990	Turkish Republic	 	 	 	 	 	Elâzığ	 
Kovani	n	10960	قوانی	GÜVENLİK							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	 	 	 	Koyulhisar	Karahisar-ı Şarkî	Rum eyâleti	155
														2	Köy	 	 	 	 	 	Merkez	Reşadiye	Tokat	 
Kovanlık	y	15430	قوانلق								http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		1	Nahiye	1934	Turkish Republic	~1990	 	 	 	Bulancak	Giresun	 
														2	Nahiye	~1990	Turkish Republic	 	 	 	 	Piraziz	Giresun	 
Köyceği̇z	y	6661	کويجه کيز	Yüksekkum							http://www.geonames.org/ontology#A.ADMD			1	Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1811	 	 	 	Menteşe	Anadolu eyâleti	101
														2	Kaza	1811	http://n2t.net/ark:/99152/p0pf2qbzg6v	1924	 	 	 	Menteşe	Aydın eyâleti	 
														3	Kaza	1924	Turkish Republic	 	 	 	 	 	Muğla	 
Köysancak	y	1297	کويسنجاق								http://www.geonames.org/ontology#A.ADMD			1	Sancak	18. yy.	http://n2t.net/ark:/99152/p0pf2qbhtsm	~1830	 	 	 	 	Şehrizor eyâleti	161
														2	Kaza	~1830	http://n2t.net/ark:/99152/p0pf2qbzg6v	 	 	 	 	Kerkük	Bağdad maa Şehrizor eyâleti	 
														3	Kaza	 	 	 	 	 	Şehrizor	Musul	Irak	 
Koyulhısar	y	6662	قويلحصار	Koyluhisar		Muşaz					http://www.geonames.org/ontology#A.ADMD			1	Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1846	 	 	 	Karahisar-ı Şarkî	Rum eyâleti	155
														2	Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1869	 	 	 	Karahisar-ı Şarkî	Trabzon eyâleti	 
														3	Kaza	1869	http://n2t.net/ark:/99152/p0pf2qbtdts	1924	 	 	 	Karahisar-ı Şarkî	Sivas vilâyeti	 
														4	Kaza	1924	Turkish Republic	1933	 	 	 	 	Şebinkarahisar	 
														5	Kaza	1933	Turkish Republic	 	 	 	 	 	Sivas	 
Koyunağılı	y	10961	قويون آغيلی								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Mihalıççık	Ankara	Ankara vilâyeti	102
														2	Köy	 	 	 	 	 	Merkez	Mihalıççık	Eskişehir	 
Koyva	n	10963	قويوه	KUZULU							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Merkez	Kırkkilise	Edirne vilâyeti	122
														2	Köy	 	 	 	 	 	Merkez	Merkez	Kırklareli	 
Köyyeri̇	y	10964	کوی يری								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1927	 	 	Aziziye	Sivas	Sivas vilâyeti	166
														2	Nahiye merkezi	1927	Turkish Republic	1946	 	 	Sarız	Pınarbaşı	Kayseri	 
														3	Kaza merkezi	1946	Turkish Republic	 	 	 	 	Sarız	Kayseri	 
Kozağzı	y	15177	قوز آغزی								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		1	Kaza merkezi	1945	Turkish Republic	 	 	 	 	Perşembe	Ordu	 
Kozak	y	6663	قوزاق	Yukarıbey							http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1924	 	 	Bergama	İzmir	Aydın vilâyeti	104
														2	Nahiye	1924	Turkish Republic	 	 	 	 	Bergama	İzmir	 
Kozaklı	y	10965	قوزاقلی								http://www.geonames.org/ontology#P.PPLG			1	Köy	 	 	1924	 	 	Merkez	Avanos	Kırşehir	 
														2	Nahiye	1924	Turkish Republic	1954	 	 	 	Avanos	Kırşehir	 
														3	Kaza	1954	Turkish Republic	 	 	 	 	 	Nevşehir	 
Kozan	y	1298	قوزان	SİS							http://www.geonames.org/ontology#A.ADMD			1	Sancak	1517	http://n2t.net/ark:/99152/p0pf2qbznht	16. yy.	 	 	 	 	Arap vilâyeti	103
														2	Sancak	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b	1571	 	 	 	 	Zülkadriye eyâleti	 
														3	Sancak	1571	http://n2t.net/ark:/99152/p0pf2qb8jrp	1608	 	 	 	 	Kıbrıs eyâleti	 
														4	Sancak	1608	http://n2t.net/ark:/99152/p0pf2qbv3zv	 	 	 	 	 	Adana eyâleti	 
														5	Sancak	 	 	1732	 	 	 	 	Halep eyâleti	 
														6	Sancak	1732	http://n2t.net/ark:/99152/p0pf2qbhtsm	 	 	 	 	 	Adana eyâleti	 
														7	Sancak	 	 	1850	 	 	 	 	Kıbrıs eyâleti	 
														8	Sancak	1850	http://n2t.net/ark:/99152/p0pf2qb8jmh	1866	 	 	 	 	Bozok eyâleti	 
														9	Sancak	1866	http://n2t.net/ark:/99152/p0pf2qbtdts	1867	 	 	 	 	Adana vilâyeti	 
														10	Sancak	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	 	Halep vilâyeti	 
														11	Kaza	1869	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	Adana	Adana vilâyeti	 
														12	Sancak	 	 	 	 	 	 	 	Adana	 
														13	Vilâyet	 	 	 	 	 	 	 	Kozan	 
														14	Kaza 	1926	 	 	 	 	 	 	Adana	 
Kozana	y	6664	قوزانه	Kozani							http://www.geonames.org/ontology#A.ADMD			1	Kaza	1889	http://n2t.net/ark:/99152/p0pf2qbx98x	1913	 	 	 	Serfiçe	Manastır vilâyeti	148
														2	Kaza	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq	 	 	 	 	Serfiçe	Yunanistan	 
Kozanlı Maa İncesu	y	6665	قوزانلی مع اينجه صو								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	 	 	 	 	Kayseri	Bozok eyâleti	114
Kozarca Maa Kostani̇çe	y	6666	قوزارجه مع قوستانيچه								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1866	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	 	Bihke	Bosna vilâyeti	113
Kozcağız	y	10966	قوزجه غيز	Ahmetler							http://www.geonames.org/ontology#P.PPLG			1	Nahiye	 	 	1991	 	 	 	Bartın	Zonguldak	 
														2	Nahiye	1991	Turkish Republic	 	 	 	 	Merkez	Bartın	 
Kozlu	y	15178	قوزلی								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		1	Nahiye	 	 	~1990	 	 	 	Merkez	Zonguldak	 
														2	Kaza	~1990	Turkish Republic	 	 	 	 	 	Zonguldak	 
Kozlu	y	6667	قوزلی								http://www.geonames.org/ontology#A.ADMD			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924	 	 	Erbaa	Tokat	Sivas vilâyeti	166
														2	Nahiye	1924	Turkish Republic	 	 	 	 	Erbaa	Tokat	 
Kozluca	y	6668	قوزليجه								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1908	 	 	 	Varna	Silistre eyâleti	164
														2	Kaza	1908	http://n2t.net/ark:/99152/p0pf2qbx98x	 	 	 	 	Varna	Bulgaristan	 
Kozluk	y	15431	قوزلق	Hazo							http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		1	Nahiye	1924	Turkish Republic	1938	 	 	 	Sason	Siirt	 
														2	Kaza	1938	Turkish Republic	1990	 	 	 	 	Siirt	 
														3	Kaza	1990	Turkish Republic	 	 	 	 	 	Batman	 
Kozyürük	y	10967	قوزيورک								http://www.geonames.org/ontology#P.PPLG			1	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	 	 	 	Malkara	Tekfurdağı	Edirne vilâyeti	122
														2	Kasaba	 	 	 	 	 	Şahin	Malkara	Tekirdağ	 
Krandos Maa Yanya	y	6669	قراندوس مع يانيه								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	 	 	 	 	Yanya	Yanya eyâleti	180
Kranya	y	6670	قرانيه								http://www.geonames.org/ontology#A.ADMD			1	Kaza	1812	http://n2t.net/ark:/99152/p0pf2qbzg6v	1881	 	 	 	Belgrad	Sırp eyâleti	165
