	Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14	wikidata_json	lat	lon
6023	VAN maa HAKKÂRİ	وان مع حکاری							Sancak	1845					Erzurum eyâleti																																																																
6024	VAN maa HAKKÂRİ	وان مع حکاری							Sancak	1865					Erzurum eyâleti																																																																
6025	VARAD	واراد	Nagy Varad						Eyâlet	1660-1691					Varad eyâleti																																																																
6026	VARADİN	وارادين							Eyâlet						Avusturya-Macaristan																																																																
6027	Varay	ورای	GEDİKSARAY						Nahiye					Merkez	Amasya	Nahiye	1854				Göynücek	Amasya																																																									
6028	VARDAR	واردار							Nahiye	1867			Merkez	Selânik	Selânik vilâyeti																																																																
6029	VARMA maa GÜLANBER ve ALUCE ve ENAM	وارما مع کلعنبر وَ علوجه وَ انام=حرم آباد	HURREMÂBÂD						Kaza	1855				Süleymaniye	Bağdad maa Şehrizor eyâleti																																																																
6030	VARNA	وارنه							Sancak	1846					Silistre eyâleti	Sancak	1864					Tuna vilâyeti	Sancak	1877					Bulgaristan eyâleti	Sancak	1908				Bulgaristan krallığı	Vilâyet					Bulgaristan																																						
6031	VARTAN	وارطن	Livane-i Süfl.				1272 salnamesinde “Livane-i Süfl., nâm-ı diğer Vartan” yazılıdır.		Kaza	1585				Lazistan	Trabzon eyâleti																																																																
6032	VARTO	وارطو	Gümgüm						Kaza	1855				Muş	Erzurum eyâleti	Kaza	1880				Muş	Bitlis vilâyeti	Kaza	1926					Bitlis	Kaza	1929				Muş																																												
6033	VAS	واس							Eyâlet						Macaristan																																																																
6034	VASAB	وصاب	Usab						Sancak		Daha sonra merkezi Denni olan “Vasabü’l-Âlî ve merkezi Hays olan “Vasabü’s- Sâfil nahiyelerine ayrıldı ve her iki naheye de Zebid’e bağlandı.				Yemen eyâleti																																																																
6035	VASABÜ’L-ÂLÎ	وصاب العالی							Nahiye	1871			Zebid	Hudeyde	Yemen vilâyeti																																																																
6036	VASABÜ’S-SÂFİL	وصاب السافل							Nahiye	1871			Zebid	Hudeyde	Yemen vilâyeti																																																																
6037	Vasgird	واسکرد	PINARLAR	Paşavenk					Nahiye				Merkez	Çemişgezek	Diyarbakır eyâleti	Nahiye	1871			Çarsancak	Dersim	Mamûretülaziz	Nahiye	1935				Pertek	Tunceli																																																		
6038	VASİLİKO	واسيليقو							Kaza merkezi	1865			Ahtapol	Kırkkilise	Edirne vilâyeti	Kaza merkezi	1913			Ahtapol	Burgaz	Bulgaristan																																																									
6039	VASİLOY	واسيلوی							Kaza	1455				Boğdan	Boğdan eyâleti																																																																
6040	VASIT	واسط					Basra ile Küfe arasında. H. 6. yy.’da harap olmuştur.		Sancak	17. yy.					Bağdad eyâleti	Antik şehir						Basra																																																									
6041	Vaskirt	واسکرد	IŞIKPINAR						Nahiye	1865			Merkez	Erzincan	Erzurum vilâyeti	Köy				Merkez	Merkez	Erzincan																																																									
6042	Vaskovan	واسقوان	AKÇAPINAR						Nahiye	1871			Çemişgezek	Dersim	Mamûretülaziz	Nahiye	1924				Çemişgezek	Elâzığ	Nahiye	1935				Çemişgezek	Tunceli																																																		
6043	VATİ	واتی						https://www.wikidata.org/wiki/Q853527	Emâret merkezi	1832					Sisam emâreti	Şehir	1948				Sisam	Yunanistan																																																							https://www.wikidata.org/wiki/Special:EntityData/Q853527.json	37.733333333333	26.983333333333
6044	VAYÇEN	وايچن	Vaitzan						Kasaba					Peşte	Macaristan																																																																
6045	Vazıldan	واظلدان	MURSAL						Nahiye	1865			Divriği	Sivas	Sivas vilâyeti	Nahiye	1924				Divriği	Sivas																																																									
6046	VEDANE ve LEHEN	ودانه وَ لهن							Sancak	17. yy.					Van eyâleti																																																																
6047	VEHRAN	وهران	Oran						Eyâlet						Cezayir																																																																
6048	VEKRE	وکره							Nahiye	1864			Katar	Basra	Basra vilâyeti																																																																
6049	VELASNİÇE	ولاسنيچه							Kaza	1866				İzvornik	Bosna vilâyeti																																																																
6050	VELESTİN	ولستين							Köy		Galos’un 20 km. batısında büyük bir k.ydür. Son Yunan muhaberesinde bu köyde büyük bir savaş olmıştur.			Tesalya	Yunanistan																																																																
6051	VELİBABA	ولی بابا							Nahiye merkezi	1953			Aras	Horasan	Erzurum																																																																
6052	VELİKÖY	وليکوی	Mirya						Nahiye					Şavşat	Artvin																																																																
6053	VELİLİ	وليلی							Kasaba		Tanca yakınındadır. Fas’ta H. 172-324 yılları arasında hüküm süren, Hz. Hasan neslinden gelen İdrisîlerin ceddi olan İdris bu kasabaya çekilerek .lünceye kadar bu kasabada oturmuştur. Meşhur İslâm coğrafyacısı İdrisî de bu sül.ledendir.				Fas																																																																
6054	VENÇE	ونچه							Nahiye	1899			Grabina	Serfiçe	Manastır vilâyeti																																																																
6055	VENK	ونک							Nahiye		Köylerinin bir kısmı halen Tokat merkez bucağındadır.		Tokat	Sivas-Tokat	Rum eyâleti																																																																
6056	Verişan	وريشان	GÜRBÜZLER						Sancak	1579					Kars eyâleti	Köy				Merkez	Selim	Kars																																																									
6057	VERTENİS	ورتنيس							Kasaba						Tunus																																																																
6058	VERUNE	ورونه						https://www.wikidata.org/wiki/Q2028	Eyâlet merkezi					Venedik	İtalya																																																														https://www.wikidata.org/wiki/Special:EntityData/Q2028.json	45.438158333333	10.993741666667
6059	VESİKOK	وثيقوق							Nahiye	1874			Merkez	Görice	Manastır vilâyeti																																																																
6060	VESPRİM	وسپريم	Veszprem						Sancak	1545					Budin eyâleti	Sancak	1598					Macaristan																																																									
6061	VEYSİYE	ويسيه							Kaza	1851				Divaniye	Bağdad maa Şehrizor eyâleti																																																																
6062	VEZİRE	وزيره							Kasaba	1871				Taizz	Yemen vilâyeti																																																																
