	Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14	wikidata_json	lat	lon
253	ALTINTAŞ	آلتون طاش							Köy				Yarımca	Nizip	Gaziantep	Kaza merkezi					Araban	Gaziantep																																																									
254	ALTINYAKA	آلتون يقا	Gödene						Nahiye	1958				Kumluca	Antalya																																																																
255	ALTINYAYLÂ	آلتون يايلا	Dirmil						Nahiye	1924				Tefenni	Burdur	Nahiye	1953				Gölhisar	Burdur	Kaza	~1990					Burdur																																																		
256	ALTINYAYLÂ	آلتون يايلا	Deliilyas	Tonus					Nahiye					Şarkışla	Sivas	Kaza	~1990	Deliilyas şimdi Altınyaylâ bucağına bağlı ayrı bir kasabadır				Sivas																																																									
257	ALUCA maa GÜLANBER	علوجه مع کلعنبر							Kaza	1855				Süleymaniye	Bağdad maa Şehrizor eyâleti																																																																
258	ALUCRA	آلوجره	Mesudiye						Nahiye	16. yy.			Merkez	Karahisar-ı Şarkî	Rum eyâleti	Kaza	1846				Karahisar-ı Şarkî	Trabzon eyâleti	Kaza	1867				Karahisar-ı Şarkî	Sivas vilâyeti	Kaza	1924				Şebinkarahisar	Kaza	1933				Giresun																																						
259	ALUS	آلوس	Cezire-i Alus						Nahiye	~1530				Ana ve Hit	Diyarbakır eyâleti	Kaza					Bağdad	Irak																																																									
260	Alut	علوط	DAMLACIK	Tavsi					Nahiye	1877			Kâhta	Malatya	Mamûretülaziz vilâyeti	Nahiye	1924				Kâhta	Malatya	Nahiye	1954				Kâhta	Adıyaman																																																		
261	Alyan	آليان	OYALI	Dalakavasır					Nahiye					Nusaybin	Mardin	Nahiye	1937				İdil	Mardin																																																									
262	AMÂRA	عماره							Sancak	1862					Bağdad eyâleti	Sancak	1887					Basra vilâyeti																																																									
263	AMARYA	آماريه	Mirona						Kaza				Resmo	Girit	Yunanistan																																																																
264	AMASRA	( آماصره (آماصری							Kaza	1841				Viranşehir	Kastamonu eyâleti	Nahiye				Bartın	Bolu	Kastamonu eyâleti	Nahiye	1924				Bartın	Zonguldak	Kaza	1991				Bartın																																												
265	Amasya	آماسيه	Amasya-i Aydın	DEĞİRMENBÜKÜ					Nahiye	~1530			Yenişehir	Aydın	Anadolu eyâleti	Kaza	1841				Aydın	Aydın eyâleti	Köy				Merkez	Bozdoğan	Aydın																																																		
266	AMASYA	آماسيه						https://www.wikidata.org/wiki/Q170532	Eyâlet merkezi	1386					Rum eyâleti	Sancak	1518					Rum eyâleti	Sancak	1537-1551					Anadolu eyâleti																																																https://www.wikidata.org/wiki/Special:EntityData/Q170532.json	40.65	35.833333333333
267	AMASYA	آماسيه							Sancak	1856					Sivas vilâyeti	Vilâyet	1924					Amasya																																																									
268	AMASYA-ÇORUM	آماسيه - چوروم							Sancak	1841					Sivas eyâleti																																																																
269	Amat	آماد	TEZEREN						Nahiye	1865			Eleşkirt	Bayazıt	Erzurum	Köy				Merkez	Merkez	Ağrı																																																									
270	Âmid	آمد	Karaâmid	DİYARBAKIR					Sancak		Merkez sancağı				Diyarbakır eyâleti																																																																
271	ÂMİD-İ GARBİ	آمدغربی	Garb						Nahiye	~1530			Merkez	Âmid	Diyarbakır eyâleti	Nahiye	1867			Merkez	Diyarbakır	Diyarbakır vilâyeti																																																									
272	ÂMİD-İ ŞARKÎ	آمدشرقی	Şark						Nahiye	~1530			Merkez	Âmid	Diyarbakır eyâleti	Nahiye		1912’de mevcut, sonraları lağvedilmiş.		Merkez	Diyarbakır	Diyarbakır vilâyeti																																																									
273	AMÎK	عميق							Nahiye	1517					Arap vilâyeti																																																																
274	AMİKİ maa MÜNBİÇ	عميقی مع منبيچ							Kaza		Bu kazanın otuz köyünden hiçbiri Türkiye’de g.rünmüyor. Münbi. de halen Halep’e bağlıdır.			Kilis	Halep eyâleti																																																																
275	AMİKOVA maa REYHANLI	عميق اووه مع ريحانلو							Kaza	1520				Halep	Halep eyâleti																																																																
276	AMİRA	عامره							Kaza	1865				Havran	Suriye vilâyeti																																																																
277	AMMAN	عمان						https://www.wikidata.org/wiki/Q3805	Başşehir						Ürdün																																																														https://www.wikidata.org/wiki/Special:EntityData/Q3805.json	31.95	35.933333333333
278	AMRAN	عمران	Umran						Sancak	16. yy.					Yemen eyâleti	Kaza	19. yy.				Sana	Yemen vilâyeti																																																									
279	Amutka	آموتقه	YENİBAŞ						Nahiye	1888			Merkez	Dersim	Mamûretülaziz vilâyeti	Nahiye	1926				Hozat	Elâzığ	Köy				Çağlarca	Hozat	Tunceli																																																		
280	ANA	عنه							Sancak	1534					Bağdad eyâleti	Sancak	17. yy.					Rakka eyâleti	Sancak						Bağdad eyâleti	Kaza	1850-64			Düleym	Bağdad maa Şehrizor eyâleti	Kaza			Bağdad	Bağdad	Irak																																						
281	ANA ve HİT	عنه وهيت							Sancak	~1520					Diyarbakır eyâleti																																																																
282	ANABOLU	آنابولی	Navplion						Sancak	17. yy.					Mora eyâleti	Sancak	1827					Yunanistan																																																									
283	ANADOLU	آناطولی	Ankara, Kütahya						Eyâlet	1393-1841					Anadolu eyâleti																																																																
284	Anamas	آنماس	AKSU						Nahiye	~1530			Eğirdir	Hamid	Anadolu eyâleti	Nahiye	1924				Eğirdir	Isparta	Kaza	~1990					Isparta																																																		
285	ANAMUR	آنامور	Mamûriye	Çorak					Kaza	16. yy.				İçil	Karaman eyâleti	Kaza	1608				İçil	Adana eyâleti	Kaza	1924				İçil	(Silifke)	Kaza	1933			İçel	(Mersin)																																												
286	ANAPA	آناپه							Kasaba						Çerkezistan	Kasaba		Müstahkem bir kasabadır. Savaşlara sahne olmuş, Osmanlı- Rusya arasında defaatle el değiştirmiştir. Edirne antlaşmasıyla Rusya’ya bırakılmıştır.			Abaza bölgesi	Rusya																																																									
287	ANAPOLİS	آناپوليس	Sultaniye						Kaza merkezi	1867			İsfakya	Hanya	Girit vilâyeti	Kaza	1913			İsfakya	Hanya	Yunanistan																																																									
288	Anavarza	آناوارزه	Anazarba	DİLEKKAYA					Kale				Sis	Sis	Arap vilâyeti	Köy				Merkez	Kozan	Adana																																																									
289	ANBAR	آنبار							Antik şehir					Bağdad	Irak																																																																
290	ANCUZ	عنجوز							Nahiye		1928’de bu adda köy var, şimdi bulunamadı		Merkez	Erganimadeni	Diyarbakır																																																																
291	ANDİ	آندی							Kaza					Dağıstan	Rusya																																																																
292	ANDİFLİ	آندفلی							Kaza merkezi					Kaş	Antalya																																																																
293	ANDİMİLO	آنديميلو	Andimilos						Ada					Ege denizi	Yunanistan																																																																
294	ANDIRIN	آندرين	Andıran						Nahiye				Maraş	Maraş	Zülkadriye eyâleti	Kaza	1855				Maraş	Adana eyâleti	Kaza	1866				Maraş	Halep vilâyeti	Nahiye	1908			Göksun	Müstakil Maraş Sancağı	Kaza	1925				Kahramanmaraş																																						
295	ANDRİYAS	آندرياس							Köy			Akşehirâbâd	Merkez	Karahisar-ı Şarkî	Rum eyâleti	Kaza merkezi	1805			Suşehri	Karahisar-ı Şarkî	Trabzon eyâleti	Kaza merkezi	1933				Suşehri	Sivas																																																		
296	Anduğu	آندوغی	Ortaköy	ALTINHİSAR					Kaza	16. yy.				Niğde	Karaman eyâleti	Nahiye	1924				Bor	Niğde	Kaza	~1990					Niğde																																																		
297	Ani	آنی	OCAKLI						Antik şehir						Ani	Köy				Merkez	Merkez	Kars																																																									
298	ANİS	آنس	Bilâd-ı Anis	Zoran					Sancak	1545					Yemen eyâleti	Kaza	19. yy.				Sana	Yemen vilâyeti	Nahiye				Zimar	Sana	Yemen vilâyeti																																																		
299	Ank	آنق	YEŞİLÖREN						Nahiye	1517				Birecik	Arap vilâyeti	Köy				Merkez	Halfeti	Şanlıurfa																																																									
300	ANKARA	آنقره						https://www.wikidata.org/wiki/Q3640	Eyâlet merkezi	1393					Anadolu eyâleti	Sancak	1461					Anadolu eyâleti	Eyâlet	1841					Ankara eyâleti	Sancak	1849				Bozok eyâleti	Vilâyet	1867				Ankara vilâyeti	Başkent	1923	1836-1847 “Redîf-i Mansûre Ankara Müşirliği” adı altında eyâlet, 1847-1867 arası kâh Ankara, Kâh Bozok eyâlet olmuştur.)		Ankara																															https://www.wikidata.org/wiki/Special:EntityData/Q3640.json	39.866666666667	32.866666666667
301	ANKİSTRİ	آنکيستری							Ada						Yunanistan																																																																
302	ANMERKUNG	آنمرقونغ					Yeri tesbit edilemedi		Sancak	1520					Diyarbakır eyâleti																																																																
303	Antab	عنتاب	TUTAK						Kaza	1865				Bayazıt	Erzurum eyâleti	Kaza	1925					Bayazıt	Kaza	1938					Ağrı																																																		
304	ANTAKYA	آنتاکيه						https://www.wikidata.org/wiki/Q80561	Nahiye	1517				Halep	Arap vilâyeti	Sancak	17. yy.					Halep eyâleti	Kaza	1865				Halep	Halep vilâyeti	Sancak	1918				Müstakil Antakya Sancağı	Vilâyet merkezi	1939				Hatay																																				https://www.wikidata.org/wiki/Special:EntityData/Q80561.json	36.2	36.15
305	ANTALYA	آنتاليه						https://www.wikidata.org/wiki/Q6487	Sancak merkezi	16. yy.				Teke	Anadolu eyâleti	Sancak merkezi	1846				Teke	Karaman eyâleti	Sancak merkezi	1865				Teke	Konya vilâyeti	Müstakil sancak	1914				Teke sancağı	Vilâyet	1924				Antalya																																				https://www.wikidata.org/wiki/Special:EntityData/Q6487.json	36.9	30.683333333333
306	ANTİPAKSOS	آنتيپاقسوس							Ada						Yunanistan																																																																
307	ANTİPARO	آنتيپارو							Ada						Yunanistan																																																																
308	Anzağır	آنزغر	KEVENDÜZÜ						Nahiye	~1530			Divriği	Darende-Divriği	Rum eyâleti	Köy				Merkez	Divriği	Sivas																																																									
309	AR	عر							Nahiye	1871				Cebel-i Haraz	Yemen vilâyeti																																																																
310	ARAB	عرب	Şam						Vilâyet	1517	Fethi Müteakip Suriye, Güney ve Güneydoğu Anadolu’nun bazı yerlerini kapsayan bu vilâyet sonra eyâlet oldu.				Arap vilâyeti																																																																
311	ARABAN	عربان	Altıntaş						Nahiye	1517				Birecik	Arap vilâyeti	Nahiye	1524			Merkez	Ayıntab	Halep eyâleti	Kaza	1957					Gaziantep																																																		
312	ARABAT	آرابات	Arbat						Sancak	1435					Kırım eyâleti (hanlığı)	Kale		Yarımadanın kuzeydoğusunda			Kırım	Rusya																																																									
313	ARABE	عرابه							Kasaba			Akka	Akka	Beyrut	Lübnan																																																																
314	Arabsun	عربسون	GÜLŞEHİR				1948’de “Gülşehir” oldu.		Kaza	1779				Niğde	Karaman eyâleti	Kaza	1865				Niğde	Konya vilâyeti	Kaza	1924-1933					Aksaray	Kaza	1954				Nevşehir																																												
315	ARAÇ	آراچ							Kaza	1841				Kastamonu	Kastamonu eyâleti	Kaza	1865				Kastamonu	Kastamonu vilâyeti	Kaza	1924					Kastamonu																																																		
316	ARAD	آراد							Sancak	1551					Tımışvar eyâleti	Kontluk	1685					Macaristan																																																									
317	ARAKLI	آراقلی	Karadere						Nahiye					Sürmene	Trabzon	Kaza	1953					Trabzon																																																									
318	ARALIK	آرالق	Başkend						Nahiye					Iğdır	Bayazıt	Nahiye	1924				Iğdır	Kars	Kaza	1960					Kars	Kaza	1995				Iğdır																																												
319	ARAMAN	آره مان							Nahiye merkezi				Kaymaz	Kandıra	Kocaeli																																																																
320	ARAN	آران							Bölge		Erivan ve Nahcivanı kapsayan bölge.				Ermenistan																																																																
321	ARANZ	عرنس							Nahiye merkezi			Beşpınar	Garzan	Siirt	Bitlis	Nahiye merkezi	1938			Beşpınar	Kurtalan	Siirt																																																									
322	ARAPKİR	عرپکير						https://www.wikidata.org/wiki/Q626165	Sancak	15. yy.					Rum eyâleti	Sancak	1520					Diyarbakır eyâleti	Sancak	1846					Harput eyâleti	Eyâlet merkezi	1853				Harput eyâleti	Sancak	1855				Diyarbakır eyâleti	Sancak	1857			Harput eyâleti	Kaza	1866		Mamûretülaziz	Diyarbakır vilâyeti	Kaza	1926			Malatya																					https://www.wikidata.org/wiki/Special:EntityData/Q626165.json	39.033333333333	38.483333333333
323	ARAS	آراس	Velibaba						Nahiye	1865			Pasinler	Erzurum	Erzurum vilâyeti	Nahiye	1953				Horasan	Erzurum																																																									
324	ARBE	آربه	Rabe						Ada						Adriyatik denizinde																																																																
325	ARCİŞ	آرجيش	Ardjch, pitesti						Sancak					Eflâk	Romanya																																																																
326	ARDAHAN	آردهان					İlk dönemlerde büyük ve kü.ük Ardahan diye ikiye ayrıldığı olmuştur.		Sancak	1574					Erzurum eyâleti	Sancak	1578					Çıldır eyâleti	Kaza	1828				Çıldır	Erzurum eyâleti	Kaza	1878				Rusya yönetimi	Vilâyet	1924				Ardahan	Kaza	1926			Kars	Vilâyet	1992			Ardahan																												
327	ARDANUÇ	آردانوچ	Adakale						Sancak	1551					Erzurum eyâleti	Sancak	1578					Çıldır eyâleti	Kaza	1828				Çıldır	Erzurum eyâleti	Kaza	1878				Rusya yönetimi	Nahiye	1921			Merkez	Artvin	Kaza	1945			Artvin																																	
328	ARDASA	آردسه							Kaza merkezi				Torul	Gümüşhane	Trabzon vilâyeti	Kaza merkezi	1924				Torul	Gümüşhane																																																									
329	ARDEBİL	آردبيل						https://www.wikidata.org/wiki/Q180103	Şehir						İran (İran Azerbaycanı)																																																														https://www.wikidata.org/wiki/Special:EntityData/Q180103.json	38.25	48.3
330	ARDELAN	آردلان							Kaza						İran (Batı İran)																																																																
331	ARDEŞEN	آرده شن							Nahiye					Atina	Rize	Kaza	1953					Rize																																																									
332	Ardos	آردوس	ÇAMLIBEL						Nahiye	1865			Namrevan	Erzurum	Erzurum vilâyeti	Köy				Merkez	Oltu	Erzurum																																																									
333	Arduşin	آردوشين	YENİBAŞAK					https://www.wikidata.org/wiki/Q6528766	Sancak merkezi					Genç	Bitlis vilâyeti	Kaza	1878				Genç	Bitlis vilâyeti	Nahiye merkezi	1884			Valir	Muş	Bitlis vilâyeti	Nahiye	1936			Solhan	Bingöl																																										https://www.wikidata.org/wiki/Special:EntityData/Q6528766.json		
334	ARGA	آرغه							Kaza merkezi	1850			Akçadağ	Malatya	Harput eyâleti	Kaza merkezi	1924				Akçadağ	Malatya																																																									
335	ARGITHANI	ارغيدخانی							Kaza	18. yy.				Konya	Karaman eyâleti	Nahiye	1865			Ilgın	Konya	Konya vilâyeti	Nahiye	1924				Ilgın	Konya																																																		
336	ARGOLİDE	آرغوليده							Kaza					Mora	Yunanistan																																																																
337	ARGOMA	آرغوما							Nahiye		Merkezifon bölgesinde idi.		Merkez	Amasya	Rum eyâleti																																																																
338	ARGOS	آرغوس							Kaza					Korent ve Argolide	Yunanistan																																																																
339	ARGOSTOLİ	آرغوستولی	Argostolion					https://www.wikidata.org/wiki/Q643695	Şehir		Kefalonya adasında				Yunanistan																																																														https://www.wikidata.org/wiki/Special:EntityData/Q643695.json	38.173888888889	20.488333333333
340	ARGUSLU	آرغوسلی							Nahiye		1928’de Niksar Mrk. bucağına bağlı köy, şimdi bulunamadı.		Niksar	Tokat	Sivas vilâyeti																																																																
341	ARGUVAN	آرغوان	Tahir						Nahiye	16. yy.			Merkez	Malatya	Rum eyâleti	Kaza	~1834				Maadin	Harput eyâleti	Kaza					Maadin	Diyarbakır eyâleti	Nahiye	1873			Keban	Mamûretülaziz vilâyeti	Nahiye	1924			Merkez	Malatya	Kaza	1954			Malatya																																	
342	ARHAVİ	آرخوی	Arhova						Kaza	1530				Trabzon	Rum eyâleti	Nahiye	~1846			Hopa	Lazistan	Trabzon eyâleti	Nahiye	1868			Hopa	Lazistan	Trabzon vilâyeti	Nahiye	1936			Hopa	Artvin	Kaza	1954				Artvin																																						
343	ARICAK	آريجق	Karabegân	Mirvan					Nahiye	1889			Palu	Erganimadeni	Diyarbakır	Nahiye	1924				Palu	Elâzığ	Kaza	~990					Elâzığ																																																		
344	ARIL	آريل							Kasaba				Merkez	Merkez	Gaziantep																																																																
345	ARIL maa KIZILHİSAR-I KEBÎR	آريل مع قزيل حصار کبير							Kaza	16. yy.				Ayıntab	Halep eyâleti																																																																
346	ARIM	آريم							Kaza	1520				Canik	Rum eyâleti	Kaza	17. yy.				Canik	Sivas eyâleti																																																									
347	ARIM	آريم					Çarşamba’ya bağlı halen “Arım” önekli beş köy vardır.		Köy				Merkez	Çarşamba	Trabzon vilâyeti	Köy				Merkez	Çarşamba	Samsun																																																									
348	ARIM maa ÇARŞAMBA	آريم مع جهارشندبه							Kaza	1846				Canik	Trabzon eyâleti																																																																
349	Arin	آرين	GÖLDÜZÜ						Nahiye	1926				Adilcevaz	Bitlis																																																																
350	ARİŞ	عريش	Kal’atü’l-Ariş						Kasaba						Filistin																																																																
351	ARİŞET-İ ÇAKIR maa ŞİMRAN	عشيرت چاقير مع شمران							Kaza	1855				Süleymaniye	Bağdad maa Şehrizor eyâleti																																																																
352	ARİŞET-İ CERİD	عشيرت جريد							Kaza	19. yy.				Niğde	Karaman eyâleti																																																																
353	ARİŞET-İ DELİKANLU	عشيرت دليکانلو							Kaza		1865’te lağvedilerek İslâhiye kazası kuruldu.			Maraş	Halep eyâleti																																																																
354	ARİŞET-İ DOSKİ	عشيرت دوسکی							Nahiye	1855			Merkez	Musul	Van eyâleti																																																																
355	ARIT	آريت							Nahiye	1924				Bartın	Zonguldak	Nahiye	1991				Merkez	Bartın																																																									
356	ARKA	عرقا							Nahiye	1517				Trablus	Arap vilâyeti																																																																
357	ARKADYA	عرقديا	Kyparissia						Sancak	16. yy.					Mora eyâleti	Eyâlet	1827					Yunanistan																																																									
358	ARKASA	آرقاصا							Kaza merkezi	1867			Kerpe	Rodos	Cezayir-i Bahr-i Sefid vilâyeti	Kaza merkezi	1948					Yunanistan																																																									
359	ARKİKO	آرکيکو	Archico						Sancak	1557					Habeş eyâleti	Kaza					Musavva	Habeş eyâleti																																																									
360	ARKUB-I A’LÂ	عرقوب اعلا							Nahiye				Şuf	Cebel-i Lübnan	Lübnan vilâyeti																																																																
361	ARKUB-I CENÛBÎ	عرقوب جنوبی							Nahiye				Şuf	Cebel-i Lübnan	Lübnan vilâyeti																																																																
362	ARKUB-I FEVKANÎ ve TAHTANÎ	عرقوب فوقانی وتحتانی							Kaza	1856				Cebel-i Dürzi	Sayda eyâleti																																																																
363	ARKUB-I ŞİMALİ	عرقوب شمالی							Nahiye				Şuf	Cebel-i Lübnan	Lübnan vilâyeti																																																																
364	Armişe	ارميشه	AKMEŞE						Nahiye					Merkez	İzmit sancağı	Nahiye	1924				Merkez	Kocaeli																																																									
365	Armudili	آرمود ايلی	SABUNCU	Sabuncupınar					Nahiye					Merkez	Kütahya																																																																
366	ARMUTLU	آرمودلی							Nahiye	1867			Gemlik	Bursa	Hudavendigâr vilâyeti	Nahiye	1924				Gemlik	Bursa	Kaza	1995					Yalova																																																		
367	ARMUTLU	آرمودان	Armudan	Büyükarmutlu					Nahiye	1865			Kemah	Erzincan	Erzurum vilâyeti	Nahiye	1938				İliç	Erzincan																																																									
368	ARMUTOVA	آرموداووه	Emrudâbâd	Gömeç					Nahiye	1867			Burhaniye	Karesi	Hudavendigâr vilâyeti	Nahiye	1924				Burhaniye	Balıkesir																																																									
369	ARNAUD	آرناؤد	Arnavud	Albania			İlk merkezi “Argirikasrı=Ergiri”dir.		Sancak	~1535					Rumeli eyâleti																																																																
370	ARNUN	عرنون							Kaza	1520				Şam	Şam eyâleti																																																																
371	ARPAÇAY	آرپاچايی	Zaroşad						Kaza	1926					Kars																																																																
372	ARPALI	آرپالی							Sancak	1578					Çıldır eyâleti	Köy				Merkez	Şavşat	Artvin																																																									
373	Arpaz	آرپاز	ESENKÖY						Kaza	~1530				Aydın	Anadolu eyâleti	Kaza	1841				Aydın	Aydın eyâleti	Köy				Merkez	Nazilli	Aydın vilâyeti																																																		
374	Arpetin	آرپاتين	GÖZENEK						Nahiye	1926				Yaylâk	Urfa	Köy				Yaylâk	Bozova	Şanlıurfa																																																									
375	ARSAK	آرسق							Kasaba					Kazan	Rusya																																																																
376	ARSAMOSAT	آرساموسات	Sirmat						Antik şehir						Ermenistan																																																																
377	ARSİN	آرسين							Köy				Yomra	Merkez	Trabzon	Nahiye	1946				Merkez	Trabzon	Kaza	1959					Trabzon																																																		
378	ARSLANBEY	آرسلان بک							Kasaba				Merkez	İzmit	Kocaeli																																																																
379	ARSLANKÖY	آرسلان کوی							Nahiye					Merkez	İçel																																																																
380	ARŞOVA	آرشوه	Orşova						Sancak						Rumeli eyâleti	Sancak	1552					Tımışvar eyâleti																																																									
381	Arsuz	آرسوزايلی	Arsuz ili	ULUÇINAR					Nahiye	1517				Halep	Arap vilâyeti	Nahiye	1520				Üzeyir	Halep eyâleti	Kaza	1608				Belen	Adana eyâleti	Nahiye	1865		İskenderun	Halep	Halep vilâyeti	Nahiye	1939			İskenderun	Hatay																																						
382	ARTOVA	آرتوه	Artukâbâd	Kızılca					Nahiye	~1530			Turhal	Sivas-Tokat	Rum eyâleti	Kaza	17. yy.				Sivas	Sivas eyâleti	Kaza	1865				Sivas	Sivas vilâyeti	Kaza	1924				Tokat																																												
383	Artukâbâd	آرتق آباد	ARTOVA						Nahiye	16. yy.			Turhal	Sivas-Tokat	Rum eyâleti	Kaza					Sivas	Sivas	Kaza	1865				Sivas	Sivas vilâyeti	Kaza	1924				Tokat																																												
384	ARTVİN	آرتوين	Livane	Önceki aşamaları “Livane” maddelerinde.				https://www.wikidata.org/wiki/Q193445	Sancak	1921					Müstakil sancak	Vilâyet	1924					Artvin	Kaza	1933					Çoruh	Vilâyet merkezi	1936				Çoruh	Vilâyet	1956				Artvin																																				https://www.wikidata.org/wiki/Special:EntityData/Q193445.json	41.182222222222	41.819444444444
385	ARVAD	ارواد	Cezire-i Arvad						Kaza	1847				Trablusşam	Sayda eyâleti	Kaza	1865				Trablusşam	Suriye vilâyeti	Nahiye	1888			Tartus	Trablusşam	Beyrut	Nahiye				Tartus	Suriye																																												
386	ARYANO	آريانو	Ariano						Kasaba					Venedik	İtalya																																																																
387	Arzerpalanka	آرزرپلانقه	AKPALANKA						Kasaba	1864			Merkez	Vidin	Tuna vilâyeti	Kasaba	1913					Romanya																																																									
388	ARZU	آرزو	Arzeu						Kasaba					Oran	Cezayir																																																																
389	ARZUF	آرزوف	Arsouf						Kasaba	1856			Yafa	Kudüs	Sayda eyâleti																																																																
390	AŞAĞI ÇİĞİL	آشاغی چکل							Nahiye					Ilgın	Konya																																																																
391	AŞAĞI DÜNDARLI	آشاغی دندارلی							Kaza	1608				Adana	Adana eyâleti																																																																
392	AŞAĞI İL	آشاغی ايل					Kemah’ın güneyinde idi.		Nahiye	~1530			Merkez	Kemah	Rum eyâleti																																																																
393	AŞAĞI IRMAKLAR	آشاغی ايرمقلر	Tütünlü						Nahiye					Ardanuç	Artvin																																																																
394	AŞAĞI KARASU	آشاغی قره صو							Kaza merkezi					Hizan	Bitlis																																																																
395	AŞAĞI KULUŞAĞI	آشاغی قول اوشاغی							Nahiye merkezi				Aydınlar	Baskil	Elâzığ																																																																
396	AŞAĞI PINARBAŞI	آشاغی پيگار باشی	Tömek						Nahiye					Merkez	Konya	Nahiye	~1990				Selçuklu	Konya																																																									
397	Aşağıhanik	آشاغی خانيک	OVABAĞ						Nahiye					Çınar	Diyarbakır																																																																
398	Aşağıköy	آشاغی کوی	Porga	ÇELİKHAN					Nahiye	1884			Merkez	Malatya	Mamûretülaziz	Nahiye	1924				Merkez	Malatya	Kaza	1954					Adıyaman																																																		
399	AŞAİR-İ SEB’A	عشاءرسبعه							Nahiye				Merkez	Musul	Irak																																																																
400	AŞAİR-İ URBAN	عشاءرعربان							Kaza		Aşiretlere ait idari birimler itibarîdir.			Halep	Halep eyâleti																																																																
401	AŞAİR-İ ZERİKİ maa HINIS	عشاءرزريقی مع خنس							Kaza	1855				Muş	Erzurum eyâleti																																																																
402	ASANYA	آصارجق	Asanja						Kasaba				Yosaniçe	Semendira	Yugoslavya																																																																
403	AŞARA	عشاره	Cammasa						Kaza	1865				Zor	Suriye vilâyeti																																																																
404	ASARCIK	آسانيا	Hisarcık	Biçincik					Kasaba			Merkez	Samsun	Canik	Trabzon vilâyeti	Nahiye					Kavak	Samsun	Kaza	~1990					Samsun																																																		
405	AŞDALAĞ	آشدالاغ							Kasaba					Erivan	Ermenistan																																																																
406	Asi	عاصی	YENİDOĞAN						Nahiye	1924				Sason	Siirt	Köy				Merkez	Kozluk	Siirt																																																									
407	Asikaraağaç	عاصی قره آغاچ	Garbikaraağaç	ACIPAYAM					Kaza	~1530				Hamid	Anadolu eyâleti	Kaza	1888				Denizli	Aydın vilâyeti	Kaza	1924					Denizli																																																		
408	ASİR	عسير	Abha						Sancak	1873					Yemen vilâyeti																																																																
409	AŞİRET -İ MUSLUCA	عشيرت موصليجه							Kaza	1841				Karahisar-ı Sahib	Hudavendigâr eyâleti																																																																
410	AŞİRET-İ AFŞAR	عشيرت آفشار							Kaza	1848				Maraş	Adana eyâleti																																																																
411	AŞİRET-İ ATMALU	عشيرت آطمالو							Kaza	1848				Maraş	Adana eyâleti																																																																
412	AŞİRET-İ BAHŞİŞ	عشيرت بخشيش							Kaza	17. yy.				İçil	Karaman eyâleti	Köy		Güneybahşiş ve Anamur-bahşiş köyleri			Anamur	İçel																																																									
413	AŞİRET-İ BAKARA	عشيرت بقاره							Nahiye	1854			Zor	Zor	Halep eyâleti																																																																
414	AŞİRET-İ BALYAN	عشيرت باليان							Kaza	1846				Malatya - Mamûretülaziz	Harput eyâleti																																																																
415	AŞİRET-İ BARAK	عشيرت براق	Barak=Kargamış						Kaza	1846			Kaza	Rakka	Halep eyâleti	Nahiye	1924				Nizip	Gaziantep																																																									
416	AŞİRET-İ BERAZİ	عشيرت برازی							Nahiye	18. yy.			Merkez	Âmid	Diyarbakır eyâleti																																																																
417	AŞIRET-İ BERAZİ maa SURUÇ	عشيرت برازی مع سروج							Kaza	1846				Rakka	Halep eyâleti																																																																
418	AŞİRET-İ BEREKETLÜ ve BENİ KAYS ve MİLLÜ ve ŞEYHANLI	عشيرت برکتلووبنی قيس وميللووشيخانلو							Kaza	1846				Rakka	Halep eyâleti																																																																
419	AŞİRET-İ BİRUŞ	عشيرت بيروش							Kaza	1846				Besni	Harput eyâleti																																																																
420	AŞİRET-İ BOZULUS	عشيرت بوزاولوس							Kaza	1841				Karahisar-ı Sahib	Hudavendigâr eyâleti																																																																
