Placename@tr	Duplicate?	ottgaz_id	Placename@ota	Placename_2@tr	Placename_2@ota	Placename_3@tr	Placename_3@ota	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Admin_unit_1	Admin_unit_1_start	Admin_unit_1_start_period	Admin_unit_1_stop	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Belongs_to_1-1_id	Admin_unit_2	Admin_unit_2_start	Admin_unit_2_start_period	Admin_unit_2_stop	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_start	Admin_unit_3_start_period	Admin_unit_3_stop	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_start	Admin_unit_4_start_period	Admin_unit_4_stop	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_start	Admin_unit_5_start_period	Admin_unit_5_stop	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_start	Admin_unit_6_start_period	Admin_unit_6_stop	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_start	Admin_unit_7_start_period	Admin_unit_7_stop	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_start	Admin_unit_8_start_period	Admin_unit_8_stop	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_start	Admin_unit_9_start_period	Admin_unit_9_stop	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_start	Admin_unit_10_start_period	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_start	Admin_unit_11_start_period	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_start	Belongs_to_14
KURUCAŞİLE		6709	قوريجه شيله								http://www.geonames.org/ontology#A.ADMD			Nahiye			1957				Bartın	Zonguldak		Kaza	1957	Turkish Republic	1991					Zonguldak	Kaza	1991	Turkish Republic						Bartın																																																													
KURUCAVİRAN		6710	قوريجه ويران								http://www.geonames.org/ontology#A.ADMD			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1913			Kırcaali	Edirne	Edirne vilâyeti	122	Nahiye	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq					Kırcaali	Bulgaristan																																																																						
KURUÇAY		10979	قوری چای	Hasanova							http://www.geonames.org/ontology#P.PPLG			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b				Merkez	Kemah	Rum eyâleti	155	Kaza			1865				Dersim	Erzurum eyâleti	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1938				Erzincan	Erzurum vilâyeti	Nahiye	1938	Turkish Republic				İliç	Erzincan																																																					
KURUPINAR		6711	قوری پيکار								http://www.geonames.org/ontology#A.ADMD			Nahiye	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b				Maraş	Maraş	Zülkadriye eyâleti	183																																																																															
KURZOLA		8005	قورزوله											Ada				Adriyatik denizinde				Dalmaçya																																																																																
KUS		6712	قوص								http://www.geonames.org/ontology#A.ADMD			Kaza							Kına	Mısır hidiviyeti																																																																																
KUŞADASI		6713	قوش آطه سی	İne							http://www.geonames.org/ontology#A.ADMD			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	~1573			Ayasluğ	Aydın	Anadolu eyâleti	101	Kaza	~1573	http://n2t.net/ark:/99152/p0pf2qb8jrp	1867				Sığla	Kaptanpaşa eyâleti	Kaza	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1954				İzmir	Aydın vilâyeti	Kaza	1954	Turkish Republic					Aydın																																																					
KÜŞAF		1305	کشاف								http://www.geonames.org/ontology#A.ADMD			Sancak	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq						Şehrizor eyâleti	161																																																																															
KUSAYR		1306	قصير								http://www.geonames.org/ontology#A.ADMD			Sancak	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b	1876					Habeş eyâleti	128	Kaza	1876	http://n2t.net/ark:/99152/p0pf2qbx98x					Kına	Mısır eyâleti	Sancak			1896					Mısır eyâleti	Kaza	1896	http://n2t.net/ark:/99152/p0pf2qbx98x				Kına	Mısır																																																					
KUSAYR		6714	قصير								http://www.geonames.org/ontology#A.ADMD			Nahiye	1517	http://n2t.net/ark:/99152/p0pf2qbznht	16. yy.				Halep	Arap vilâyeti	103	Kaza	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b	1865				Halep	Halep eyâleti	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Antakya	Halep	Halep vilâyeti	Bölge				Nur dağında Kusayr yaylâsı.		Hassa	Hatay																																																					
KUSAYR		6715	قصير								http://www.geonames.org/ontology#A.ADMD			Nahiye						Humus	Hama	Suriye vilâyeti	168																																																																															
KUŞÇUCERİDİ		6716	قوشجی جريدی								http://www.geonames.org/ontology#A.ADMD			Kaza				Lağvedilmiş, köylerinden “Evri” Narlı bucağında, Şarkaya ve Yamaçoba Gaziantep’e bağlıdır.			Maraş	Adana eyâleti	100																																																																															
Kuşkayası		6717	قوش قياسی	AKPINAR							http://www.geonames.org/ontology#A.ADMD			Nahiye							Kangal	Sivas																																																																																
KUŞSARAYI		6718	قوش سرايی	İzolu		Bekirhüseyin					http://www.geonames.org/ontology#A.ADMD			Nahiye							Baskil	Elâzığ																																																																																
KUŞTAŞ		6719	قوش طاش	Üçtaş							http://www.geonames.org/ontology#A.ADMD			Nahiye				Zile'’nin İğdir bucağı bölgesinde		Zile	Sivas-Tokat	Rum eyâleti	155																																																																															
KUŞTEMÜR		6720	قوشتمور								http://www.geonames.org/ontology#A.ADMD			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1608				Tarsus	Arap vilâyeti	103	Nahiye	1608	http://n2t.net/ark:/99152/p0pf2qbv3zv					Tarsus	Adana eyâleti																																																																						
KÜTAHYA		179	کوتاهيه	Germiyan	کرميان						http://www.geonames.org/ontology#A.ADMD			Sancak	1429	http://n2t.net/ark:/99152/p0pf2qbkv24	1842					Anadolu eyâleti	101	Sancak	1842	http://n2t.net/ark:/99152/p0pf2qb8jmh	1867					Hudavendigâr eyâleti	Sancak	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1918				Hudavendigâr vilâyeti		Müstakil sancak	1918	http://n2t.net/ark:/99152/p0pf2qbw2zt	1924				Kütahya sancağı	Vilâyet	1924	Turkish Republic					Kütahya																																													
KÜTAHYA		610	کوتاهيه	Germiyan	کرميان						http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q188894	Eyâlet merkezi	1461	http://n2t.net/ark:/99152/p0pf2qbcrrw						Anadolu eyâleti	101																																																																															
KUTAYİS		233	قوتاييس								http://www.geonames.org/ontology#A.ADMD		https://www.wikidata.org/wiki/Q172415	Sancak	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq	~1804					Çıldır eyâleti	119	Eyâlet merkezi	~1804	http://n2t.net/ark:/99152/p0pf2qbt989	1810					Abhaz eyâleti	Eyâlet	1810	http://n2t.net/ark:/99152/p0pf2qbzg6v					Kafkasya	Rusya																																																													
KUTUDERESİ		6721	قوطی دره سی								http://www.geonames.org/ontology#A.ADMD			Nahiye				Lağvedilmiş. Kutuderesi stratejik önemi haiz bir bölgedir.		Nazımiye	Dersim	Mamûretülaziz vilâyeti	147																																																																															
KÜTÜLAMÂRE		6722	کوة العماره								http://www.geonames.org/ontology#A.ADMD			Kaza	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh					Bedre	Bağdad maa Şehrizor eyâleti	107	Kaza							Bağdad	Irak																																																																						
KÜTÜLHAYY		10980	کوة الحی								http://www.geonames.org/ontology#P.PPLG			Kaza merkezi	1884	http://n2t.net/ark:/99152/p0pf2qbx98x				Hayy	Müntefik	Basra vilâyeti	108																																																																															
KUVEYT		1594	کويت							1887-1913: Osmanlı ile İngiltere arasında çekişmeli bir bölge.	http://www.geonames.org/ontology#P.PPLG			Kasaba			1793					Portekiz yönetimi		Kasaba	1793	http://n2t.net/ark:/99152/p0pf2qbt989	1829					İngiliz yönetimi	Sancak	1829	http://n2t.net/ark:/99152/p0pf2qbzg6v	1875					Bağdad eyâleti	Sancak	1875	http://n2t.net/ark:/99152/p0pf2qbtdts	1913				Basra vilâyeti	Kaza	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq	1914			Basra	Basra vilâyeti	Şeyhlik	1914	http://n2t.net/ark:/99152/p0pf2qb3rtq				İngiltere himayesi																																						
KUVEYTA		6723	قويطع								http://www.geonames.org/ontology#A.ADMD			Kaza	1847	http://n2t.net/ark:/99152/p0pf2qb8jmh	1861				Trablusşam	Sayda eyâleti	160	Nahiye	1861	http://n2t.net/ark:/99152/p0pf2qbtdts					Küre	Cebel-i Lübnan sancağı																																																																						
KUYUCAK		10981	قيوجق								http://www.geonames.org/ontology#P.PPLG			Nahiye	1883	http://n2t.net/ark:/99152/p0pf2qbx98x	1924			Hısnımansur	Malatya	Mamûretülaziz vilâyeti	147	Nahiye	1924	Turkish Republic	1954				Adıyaman	Malatya	Nahiye	1954	Turkish Republic					Merkez	Adıyaman																																																													
KUYUCAK		10982	قيوجق								http://www.geonames.org/ontology#P.PPLG			Kaza merkezi			~1915			Mihalıççık	Ankara	Ankara vilâyeti	102	Kaza merkezi	~1915	http://n2t.net/ark:/99152/p0pf2qb3rtq					Mihalıççık	Eskişehir																																																																						
KUYUCAK		10983	قيوجق								http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Niksar	Tokat	Sivas vilâyeti	166	Köy						Merkez	Niksar	Tokat																																																																						
KUYUCAK		6724	قيوجق	Ortakçı							http://www.geonames.org/ontology#A.ADMD			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1811			Kestel	Aydın	Anadolu eyâleti	101	Nahiye	1811	http://n2t.net/ark:/99152/p0pf2qbzg6v	1953			Nazilli	Aydın	Aydın eyâleti	Kaza	1953	Turkish Republic						Aydın																																																													
KUZÂBÂD		10984	قوز آباد								http://www.geonames.org/ontology#P.PPLG			Nahiye				Merkez ilçenin batı bölümünde idi.		Merkez	Harput	Harput eyâleti	130																																																																															
KUZCA		10985	قوزجه	Gödene							http://www.geonames.org/ontology#P.PPLG			Nahiye							Finike	Antalya		Köy						Altınyaka	Kumluca	Antalya																																																																						
KUZCA		10986	قوزجه								http://www.geonames.org/ontology#P.PPLG			Kaza merkezi	~1990	Turkish Republic					Çanakçı	Giresun																																																																																
KUZEY ERZİNCAN		6725	قوزای ارزنجان								http://www.geonames.org/ontology#A.ADMD			Nahiye	1515	http://n2t.net/ark:/99152/p0pf2qbznht				Erzincan	Kemah	Rum eyâleti	155																																																																															
KUZEY KEMAH		10987	قوزای کماخ								http://www.geonames.org/ontology#P.PPLG			Nahiye	1515	http://n2t.net/ark:/99152/p0pf2qbznht				Merkez	Kemah	Rum eyâleti	155																																																																															
KUZKIŞLA		10988	قوز قشله								http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Kuruçay	Erzincan	Erzurum vilâyeti	125	Köy						Kuruçay	İliç	Erzincan																																																																						
Kuzucan		1585	قوزيجان	PÜLÜMÜR							http://www.geonames.org/ontology#P.PPLG			Nahiye	1520	http://n2t.net/ark:/99152/p0pf2qb689b	1534			Merkez	Kiğı	Diyarbakır eyâleti	121	Sancak	1534	http://n2t.net/ark:/99152/p0pf2qb689b	1830					Erzurum eyâleti	Kaza	1830	http://n2t.net/ark:/99152/p0pf2qbzg6v	1865				Dersim	Harput eyâleti	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Erzincan	Erzurum vilâyeti	Kaza	1924	Turkish Republic	1936				Erzincan	Kaza	1936	Turkish Republic				Tunceli																																						
KUZUCUBELEN		15180	قوزيجی بيلان								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye							Merkez	İçel																																																																																
Kuzugüdenli		6726	قوزی کودنلی	AKKIŞLA							http://www.geonames.org/ontology#A.ADMD			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Aziziye	Sivas	Sivas vilâyeti	166	Nahiye			1911				Bünyan	Sivas vilâyeti	Nahiye	1911	http://n2t.net/ark:/99152/p0pf2qb3rtq	~1990				Bünyan	Kayseri	Kaza	~1990	Turkish Republic					Kayseri																																																					
KUZYAKA		10989	قوز يقا	Kürdeşe							http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Merkez	Kastamonu	Kastamonu vilâyeti	141	Nahiye	1924	Turkish Republic					Merkez	Kastamonu																																																																						
KYAROS		20249	کياروس									Not		Ada							Kiklade	Yunanistan																																																																																
LÂÇİN		15181	لاچين	Büyükl..in							http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye	1935	Turkish Republic	~1990				Merkez	Çorum		Kaza	~1990	Turkish Republic						Çorum																																																																						
Lâdik		10990	لاديق	Y.rükan-ı Lâdik		HALICI					http://www.geonames.org/ontology#P.PPLG			Nahiye	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b				Saidili	Konya	Karaman eyâleti	139	Kasaba							Sarayönü	Konya																																																																						
Lâdik		6727	لاديق	GÖKÇELİ		Gökçeyazı					http://www.geonames.org/ontology#A.ADMD			Kaza	1847	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865				Amasya-Çorum	Sivas eyâleti	166	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Niksar	Tokat	Sivas vilâyeti	Nahiye	1924	Turkish Republic					Niksar	Tokat																																																													
LÂDİK		6728	لاديق								http://www.geonames.org/ontology#A.ADMD			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1847				Amasya	Rum eyâleti	155	Kaza	1847	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865				Amasya-Çorum	Sivas eyâleti	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1925				Amasya	Sivas vilâyeti	Kaza	1925	Turkish Republic					Samsun																																																					
Lafsor		10991	لافصور	KIŞLAKÖY							http://www.geonames.org/ontology#P.PPLG			Köy						Pitkir	Oltu	Erzurum		Nahiye							Narman	Erzurum																																																																						
Lagus		10992	لاغوس	GÜZLE							http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Hamidiye	Karahisar-ı Şarkî	Sivas vilâyeti	166	Köy						Merkez	Mesudiye	Ordu																																																																						
Lahan		15437	لخان	BAŞYURT		Aşağılahan					http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Nahiye	1936	Turkish Republic					Karakoçan	Elâzığ																																																																																
LAHEÇ		8006	لحچ											Kasaba							Aden	Yemen																																																																																
LAKONYA		20128	لاقونيه	Isparta							http://www.geonames.org/ontology#A.ADMD	Not		Eyâlet								Yunanistan																																																																																
LALAPAŞA		10993	لالاپاشا	Lahnepaşa							http://www.geonames.org/ontology#P.PPLG			Nahiye	~1910	http://n2t.net/ark:/99152/p0pf2qb3rtq	1945				Merkez	Edirne		Kaza	1945	Turkish Republic						Edirne																																																																						
LÂLELİ		10994	لاله لی								http://www.geonames.org/ontology#P.PPLG			Nahiye merkezi						Bolaman	Fatsa	Ordu																																																																																
LÂLELİ maa BEYCELİ		10995	لاله لی مع بکجه لی								http://www.geonames.org/ontology#P.PPLG			Nahiye merkezi							İkizce	Ordu																																																																																
LAMYA		553	لاميا	Zeytün							http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q192980	Eyâlet merkezi								Fityotide maa Fokide eyâleti		Eyâlet merkezi								Yunanistan																																																																						
LANKAZA		6729	لنقظه	Lankadas							http://www.geonames.org/ontology#A.ADMD			Kaza	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1913				Selânik	Selânik vilâyeti	163	Kaza	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq						Yunanistan																																																																						
LAPDOS maa POGONYA		6730	لاپدوس مع پوغونيه								http://www.geonames.org/ontology#A.ADMD			Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1923				Ergiri	Yanya eyâleti	180	Kaza	1923	http://n2t.net/ark:/99152/p0pf2qbvx6k					Ergiri	Arnavutluk																																																																						
LÂPSEKİ		6731	لاپسکی								http://www.geonames.org/ontology#A.ADMD			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1886				Biga	Anadolu eyâleti	101	Kaza	1886	http://n2t.net/ark:/99152/p0pf2qbx98x	1924					Biga sancağı	Kaza	1924	Turkish Republic						Çanakkale																																																													
LÂRENDE		514	لارنده								http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q262579	Sancak merkezi	1514	http://n2t.net/ark:/99152/p0pf2qbznht	1867				Karaman	Karaman eyâleti	139	Kaza merkezi	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Karaman	Konya	Konya vilâyeti	Kaza merkezi	1924	Turkish Republic	1989				Karaman	Konya	Vilâyet merkezi	1989	Turkish Republic					Karaman																																																					
LARİSSA		554	لاريسه	Yenişehir	يکی شهر	Yenişehir Fener					http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q178405	Eyâlet merkezi	1854	http://n2t.net/ark:/99152/p0pf2qb8jmh	1867					Tırhala eyâleti		Kaza	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1878				Tırhala	Yanya vilâyeti	Kaza	1878	http://n2t.net/ark:/99152/p0pf2qbx98x		Berlin muahadesiyle Yunanistan’a bırakıldı.			Tırhala	Yunanistan																																																													
LARNAKA		8007	لارنقه	Tuzla										Kasaba								Kıbrıs																																																																																
LAŞİD		1308	لاشيد	Lassithi		Yenişehir					http://www.geonames.org/ontology#A.ADMD			Sancak	18. yy.	http://n2t.net/ark:/99152/p0pf2qbhtsm	1850					Girit eyâleti	126	Kaza	1850	http://n2t.net/ark:/99152/p0pf2qb8jmh	1897				Kandiye	Girit eyâleti	Sancak	1897	http://n2t.net/ark:/99152/p0pf2qbx98x	1913					Girit vilâyeti	Sancak	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq					Yunanistan																																																					
LAZ		6732	لاز								http://www.geonames.org/ontology#A.ADMD			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b				Arhavi	Trabzon	Rum eyâleti	155																																																																															
LAZİSTAN		1309	لازستان	Batum, Rize						1923’te Lazistan ili “Rize” oldu	http://www.geonames.org/ontology#A.ADMD			Sancak								Trabzon eyâleti	171	Sancak				İlk merkez 1851-1867 arası Gönye ve Batum, sonra Rize’dir.				Trabzon vilâyeti																																																																						
Lazkiye		1566	لازقيه	Lâdik		DENİZLİ				Antik “Laodikia” adından... Türkler tarafından önceleri Lazkiye ve Lâdik adlarına çevrilmiş daha sonra Denizli denmiştir.	http://www.geonames.org/ontology#A.ADMD			Kaza	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1826				Kütahya	Anadolu eyâleti	101	Sancak	1826	http://n2t.net/ark:/99152/p0pf2qbzg6v						Aydın eyâleti																																																																						
LAZKİYE		1586	لازقيه	Cebele							http://www.geonames.org/ontology#A.ADMD			Nahiye	1517	http://n2t.net/ark:/99152/p0pf2qbznht	1847					Arap vilâyeti	103	Sancak	1847	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865					Sayda eyâleti	Sancak	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1877					Suriye vilâyeti	Kaza	1877	http://n2t.net/ark:/99152/p0pf2qbx98x	1888			Trablusşam	Suriye vilâyeti	Sancak	1888	http://n2t.net/ark:/99152/p0pf2qbx98x	1912				Beyrut vilâyeti																																													
LEBLİZ		1310	لبليز								http://www.geonames.org/ontology#A.ADMD			Sancak	~1600	http://n2t.net/ark:/99152/p0pf2qb5mst						Van eyâleti	175																																																																															
LECA		6733	لجا	Ezra‘							http://www.geonames.org/ontology#A.ADMD			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts					Havran	Suriye vilâyeti	168																																																																															
LECCUN		1311	لجون	Horvat Kefer Otnay							http://www.geonames.org/ontology#A.ADMD			Sancak	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq	1660					Şam eyâleti	159	Sancak	1660	http://n2t.net/ark:/99152/p0pf2qbk5vq	~1855					Sayda eyâleti	Kaza	~1855	http://n2t.net/ark:/99152/p0pf2qb8jmh					Akka	Sayda eyâleti																																																													
LED		6734	لد								http://www.geonames.org/ontology#A.ADMD			Kaza	1856	http://n2t.net/ark:/99152/p0pf2qb8jmh					Kudüs	Sayda eyâleti	160																																																																															
Lefke		10996	لفکه	OSMANELİ							http://www.geonames.org/ontology#P.PPLG			Nahiye	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1867			Merkez	Ertuğrul	Hudavendigâr eyâleti	133	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1926			Merkez	Ertuğrul	Hudavendigâr vilâyeti	Kaza	1926	Turkish Republic						Bilecik																																																													
LEFKE		6735	لفکه								http://www.geonames.org/ontology#A.ADMD			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1885			Cisr-i Mustafapaşa	Edirne	Edirne vilâyeti	122	Nahiye	1885	http://n2t.net/ark:/99152/p0pf2qbx98x				Cisr-i Mustafapaşa	Hasköy	Bulgaristan																																																																						
LEFKOŞE		555	لفقوشه								http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q3856	Eyâlet merkezi	1571	http://n2t.net/ark:/99152/p0pf2qb8jrp	1608					Kıbrıs eyâleti		Sancak	1608	http://n2t.net/ark:/99152/p0pf2qbv3zv	1878					Kaptanpaşa eyâleti	Sancak	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	1960					İngiltere yönetimi	Başkent	1960	Turkish Republic					Kıbrıs Cumhuriyeti																																																					
LEFTERE		6736	لفتره								http://www.geonames.org/ontology#A.ADMD			Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts				Pravişte	Drama	Selânik vilâyeti	163																																																																															
LEHSUN		6737	لهسون								http://www.geonames.org/ontology#A.ADMD			Nahiye	1879	http://n2t.net/ark:/99152/p0pf2qbx98x				Bazyan	Süleymaniye	Musul vilâyeti	152																																																																															
LEK		8008	لک											Kasaba								Tunus																																																																																
LENDOZ		10997	لندوز								http://www.geonames.org/ontology#P.PPLG			Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts				Merkez	Rodos	Cezayir-i Bahr-i Sefid vilâyeti	118																																																																															
LERYOZ		6738	لريوز								http://www.geonames.org/ontology#A.ADMD			Kaza	1867	http://n2t.net/ark:/99152/p0pf2qbtdts					Sakız	Cezayir-i Bahr-i Sefid vilâyeti	118																																																																															
LEŞ		6739	لش	Lezhe							http://www.geonames.org/ontology#A.ADMD			Kaza	1881	http://n2t.net/ark:/99152/p0pf2qbx98x					İşkodra	İşkodra vilâyeti	135	Kaza				Eski “Dukakin” sancağının yerinde kurulmuştur.				Arnavutluk																																																																						
LESİNA		20250	لسينه									Not		Ada				Adriyatik denizinde.				Avusturya-Macaristan																																																																																
LESKOFÇA		6740	لسقوفچه	Leskowetz							http://www.geonames.org/ontology#A.ADMD			Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1885				Tırnovi	Vidin eyâleti	178	Kaza	1885	http://n2t.net/ark:/99152/p0pf2qbx98x						Bulgaristan																																																																						
LESKOVAÇ		6741	لسقواچ	Leskowatze							http://www.geonames.org/ontology#A.ADMD			Kaza				Berlin muahedesiyle Sırbistan’a bırakıldı.			Niş	Sırp eyâleti	165																																																																															
LESKOVİÇE		6742	لسقوويچه								http://www.geonames.org/ontology#A.ADMD			Kaza	1877	http://n2t.net/ark:/99152/p0pf2qbx98x					Üsküb	Kosova vilâyeti	145																																																																															
LESKOVİK		1312	لسقويک	Liaskowiki							http://www.geonames.org/ontology#A.ADMD			Sancak	1883	http://n2t.net/ark:/99152/p0pf2qbx98x	1888					Yanya vilâyeti	180	Kaza	1888	http://n2t.net/ark:/99152/p0pf2qbx98x					Yanya	Yanya vilâyeti																																																																						
LEVENT		10998	لوند								http://www.geonames.org/ontology#P.PPLG			Kaza merkezi	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1884			Akçadağ	Malatya	Harput eyâleti	130	Nahiye	1884	http://n2t.net/ark:/99152/p0pf2qbx98x				Akçadağ	Malatya	Mamûretülaziz vilâyeti	Nahiye				1850 yılında kaza Arga’ya taşındı ve Akçadağ adını aldı. 1928’de nahiye merkezi Zakirhacı köyüdür.			Akçadağ	Malatya																																																													
LEYNE		15182	لينه								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye merkezi	1924	Turkish Republic	1944			Turgut	Merkez	Muğla		Nahiye merkezi	1944	Turkish Republic				Turgut	Yatağan	Muğla																																																																						
LEYS		10999	ليث	El-Lis							http://www.geonames.org/ontology#P.PPLG			Kaza merkezi	1880	http://n2t.net/ark:/99152/p0pf2qbx98x	1912			Mamuretülhamid	Cidde	Hicaz vilâyeti	132																																																																															
LİCE		6743	ليجه								http://www.geonames.org/ontology#A.ADMD			Kaza	~1871	http://n2t.net/ark:/99152/p0pf2qbtdts	1924				Diyarbakır	Diyarbakır vilâyeti	121	Kaza	1924	Turkish Republic						Diyarbakır																																																																						
Liçik		11000	ليچک	KAYNARPINAR							http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Kiğı	Erzurum	Erzurum vilâyeti	125	Köy						Çan	Kiğı	Erzincan	Köy						Merkez	Karlıova	Bingöl																																																													
LİDİ		20251	ليدی									Not		Takımada				Venedik şehri açıklarında yedi adet ada.				İtalya																																																																																
LİF		6744	ليف								http://www.geonames.org/ontology#A.ADMD			Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts				Derik	Mardin	Diyarbakır vilâyeti	121																																																																															
LİMASOL		6745	ليماسول	Limasso, Limisso							http://www.geonames.org/ontology#A.ADMD			Kaza								Kıbrıs																																																																																
LİMNİ		1313	لمنی	Limnos							http://www.geonames.org/ontology#A.ADMD			Sancak	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b	1867					Cezayir-i Bahr-i Sefid eyâleti	118	Sancak	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1913					Cezayir-i Bahr-i Sefid vilâyeti	Sancak	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq						Yunanistan																																																													
LİNDUS		8009	ليندوس	Linde										Köy				antik şehir		Merkez	Rodos	Cezayir-i Bahr-i Sefid vilâyeti	118																																																																															
LİPOVA		1314	ليپوه	Lippa							http://www.geonames.org/ontology#A.ADMD			Sancak	1517	http://n2t.net/ark:/99152/p0pf2qbznht	1552					Tımışvar eyâleti	169																																																																															
LİPSOS		20252	لپسوس									Not		Ada							Cezayir-i Bahrisefid	Yunanistan																																																																																
LİSA		20253	ليسا									Not		Takımada				Adriyatik’te, Dalmaçya sahili karşısında 17 adet ada.				Avusturya-Macaristan																																																																																
LİTHOR		6746	ليتخور								http://www.geonames.org/ontology#A.ADMD			Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts				Katrin	Selânik	Selânik vilâyeti	163																																																																															
