Placename@tr	Duplicate?	ottgaz_id	Placename@ota	Placename_2@tr	Placename_2@ota	Placename_3@tr	Placename_3@ota	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Admin_unit_1	Admin_unit_1_start	Admin_unit_1_start_period	Admin_unit_1_stop	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Belongs_to_1-1_id	Admin_unit_2	Admin_unit_2_start	Admin_unit_2_start_period	Admin_unit_2_stop	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_start	Admin_unit_3_start_period	Admin_unit_3_stop	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_start	Admin_unit_4_start_period	Admin_unit_4_stop	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_start	Admin_unit_5_start_period	Admin_unit_5_stop	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_start	Admin_unit_6_start_period	Admin_unit_6_stop	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_start	Admin_unit_7_start_period	Admin_unit_7_stop	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_start	Admin_unit_8_start_period	Admin_unit_8_stop	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_start	Admin_unit_9_start_period	Admin_unit_9_stop	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_start	Admin_unit_10_start_period	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_start	Admin_unit_11_start_period	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_start	Belongs_to_14
AÇMİYAÇİN		5014	اچمياچين	Etchmiadzin							http://www.geonames.org/ontology#A.ADMD			Kaza				Ermenilerin en eski ve kutsal saydıkları manastırı bu kazadadır. Diğerleri Türkiye’de Sis ve Ahtamar manastırlarıdır.			Erivan	Ermenistan																																																																																
ACUR		1004	عجور	Acur Kal‘a							http://www.geonames.org/ontology#A.ADMD			Sancak	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq						Şehrizor eyâleti	161																																																																															
ACÛZE		10010	عجوزه								http://www.geonames.org/ontology#P.PPLG			Nahiye						Merkez	Musul	Diyarbakır eyâleti	121																																																																															
ACYUD		20002	آجيود	ADJUD							http://www.geonames.org/ontology#P.PPLG	Not	https://www.wikidata.org/wiki/Q357784	Şehir						Botine	Boğdan	Romanya																																																																																
ADA		20196	آطه									Not		Ada							Bakis	Macaristan																																																																																
ADA		10011	آطه								http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Merkez	Edirne	Edirne vilâyeti	122	Köy						Küplü	Meriç	Edirne																																																																						
ADAKALE		15001	آطه قلعه								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Kaza merkezi	1949	Turkish Republic					Ardanuç	Artvin																																																																																
ADAKALESİ		10012	آطه قلعه سی								http://www.geonames.org/ontology#P.PPLG			Nahiye	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh				Merkez	Vidin	Vidin eyâleti	178																																																																															
ADAKLI		10013	آداقلی								http://www.geonames.org/ontology#P.PPLG			Nahiye merkezi						Göktaş	Borçka	Artvin																																																																																
ADAKLI		5016	آداقلی	Hösnek	هوسنک	Azakpert					http://www.geonames.org/ontology#A.ADMD			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1936			Kiğı	Erzurum	Erzurum vilâyeti	125	Nahiye	1936	Turkish Republic	1990				Kiğı	Bingöl	Kaza	1990	Turkish Republic						Bingöl																																																													
ADAKSU		10014	آداقصو	Şebboy							http://www.geonames.org/ontology#P.PPLG			Köy						Sultanmud	Malazgirt	Bitlis		Nahiye merkezi						Karahasan	Malazgirt	Muş																																																																						
