key-name	alt-name	Reference
Nuruddin k., Kızılağaç kz., Sağkol, Paşa l.	Atatası k.	
Karagöz k., Yenice-i Zağra kz., Çirmen l.	Atlıoğlu k.	
Avunduk k., Silistre kz., Silistre l.	Atmaca k.	
Islava k., Hırsova kz., Silistre l.	Atmacaköy k.	
Kozluca k., Silistre kz., Silistre l.	Atmacapınarı k.	
Doğancılar k., Alasonya n., Alasonya kz., Tırhala l.	Avlolar k.	
Afşar	Avşar	
İsveti Petka k., Timurhisarı kz., Solkol, Paşa l.	Aya Brasgova k.	
Pronoz k., Avlonar n., Agrıboz kz., Agrıboz l.	Aya Kiryaki k.	
Panaya k., Kelemerye n., Sela-nik kz., Solkol, Paşa l.	Aya Maryana k.	
Mıkrı Osovişte k., İştin kz., Solkol, Paşa l.	Aya Nikola k.	
Sola k., İstifa n., İstifa kz., Agrıboz l.	Aya Nikola k.	
Kaloş Mazi k., Arhos n., Arhos kz., Mora l.	Aya Paraskevi k.	
Ahmedkuyusu(-i diğer) k., Hırsova kz., Silistre l.	Ayaklı Mustafa k.	
Karaca Ali k., Çernovi kz., Niğbolu l.	Ayaslar k.	
İnebeyi k., Çorlu kz., Vize l. 90	Aybeyler k.	
Küplüce k., Edirne kz., Sağkol, Paşa l.	Aydın-ı Prevadi k.	
Emirhanlı k., Kesriçe n., Yenişehir kz., Tırhala l.	Aydınlı k.	
Kalabakkaya mz., Yenice-i Vardar kz., Solkol, Paşa l.	Aydınmezarı mz.	
Delipoladlı k., Tekfurdağı n., Tekfurdağı kz., Çirmen l., Müselleman-ı Çirmen	Aydoğmuş k.	
Gilan k., Çernovi kz., Niğbolu l.	Aydova Mogile k.	
Sovuklu k., Tırnova kz., Niğbolu l.	Aykodine k.	
Kiroza k., Avlonar n., Agrıboz kz., Agrıboz l.	Ayo k.	
Dorize k., Livadiye n., Livadiye kz., Agrıboz l.	Ayo Andreya k.	
Kiroza k., Agrıboz n., Agrıboz kz., Agrıboz l.	Ayo Dafni k.	
Bogoniçe k., İştin kz., Solkol, Paşa l.	Ayo Dimitri k.	
Voştiniçe k., Ülündürük bölgesi, Livadiye kz., Tırhala l.	Ayo Dimitri k.	
Gorgoviçe k., Oroz n., Agrıboz kz., Agrıboz l.	Ayo İlya k.	
Mahola-i Küçük k., Agrıboz n., Agrıboz kz., Agrıboz l.	Ayo İlya k.	
Ayo Nikola k., Katafiye, Dömeke n., Çatalca kz., Tırhala l.	Ayo İstefanos k.	
Ahladar k., Agrıboz n., Agrıboz kz., Agrıboz l.	Ayo İvlaş k.	
Ayo Yorgi k., Karaverye kz., Solkol, Paşa l.	Ayo Kiryaki k.	
Ayo Yorgi k., Karaverye kz., Solkol, Paşa l.	Ayo Kiryaki k.	
Doksamine k., Mandud n., Agrı-boz kz., Agrıboz l.	Ayo Lahadis k.	
