Placename@tr	ottgaz_id	Placename@ott	Placename_2@tr	Placename_2@ott	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Belongs_to_1-1_id	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14
ACUR	1004	عجور	Acur Kal‘a						Region			Sancak	17. yy.					Şehrizor eyâleti	161																																																													
ACÛZE		عجوزه							City			Nahiye				Merkez	Musul	Diyarbakır eyâleti	121																																																													
ACYUD		آجيود	ADJUD						City	Not	https://www.wikidata.org/wiki/Q357784	Şehir				Botine	Boğdan	Romanya																																																														
ADA		آطه							City			Nahiye	1865			Merkez	Edirne	Edirne vilâyeti	122	Köy				Küplü	Meriç	Edirne																																																						
ADA		آطه								Not		Ada					Bakis	Macaristan																																																														
Adagide		آطه گيده	OVAKENT						Region			Nahiye					Ödemiş	İzmir																																																														
ADAKALE		آطه قلعه							City	Republic of Turkey		Kaza merkezi	1949				Ardanuç	Artvin																																																														
ADAKALESİ		آطه قلعه سی							City			Nahiye	1846			Merkez	Vidin	Vidin eyâleti	178																																																													
ADAKLI		آداقلی	Hösnek		Azakpert				Region			Nahiye	1865			Kiğı	Erzurum	Erzurum		Nahiye	1936				Kiğı	Bingöl	Kaza	1990					Bingöl																																															
ADAKLI		آداقلی							City			Nahiye merkezi				Göktaş	Borçka	Artvin																																																														
ADAKSU		آداقصو	Şebboy						City			Köy				Sultanmud	Malazgirt	Bitlis		Nahiye merkezi				Karahasan	Malazgirt	Muş																																																						
Adala		آطله	KARATAŞ						Region			Kaza	~1530				Saruhan	Anadolu eyâleti	101	Nahiye	1882				Salihli	Manisa																																																						
ADALAR	1005	آطه لر	Büyükada						Region			Sancak	1878-01-01T00:00:00Z					Şehremâneti		Kaza						Şehremâneti	Kaza	1909					İstanbul																																															
ADANA	100	آطنه (ادنه)							Region			Sancak	1516-12-22T00:00:00Z					Arap vilâyeti	103	Sancak	1520					Halep eyâleti	Eyâlet	1608					Adana eyâleti	Sancak	1865				Halep vilâyeti	Vilâyet	1869				Adana vilâyeti																																			
ADANA		آطنه (ادنه)							City																																																																							
ADAÖREN		آطه ويران	Adaviran						City			Nahiye					Beypazarı	Ankara		Köy				Merkez	Beypazarı	Ankara																																																						
ADAPAZARI		آطه پازاری	Ada						Region		https://www.wikidata.org/wiki/Q175323	Kaza	~1530				Kocaeli	Anadolu eyâleti	101	Kaza	1878				Kocaeli	Şehremâneti	Kaza	1924					Kocaeli	Vilâyet merkezi	1954				Sakarya																																									
ADEM		آدم							Region	Not		Nahiye		Bahreyn ve Umman’da da bu adda nahiyeler vardır			Hicaz	S. Arabistan																																																														
ADEN	1006	عدن							Region			Sancak	1538-12-22T00:00:00Z				Taizz	Yemen eyâleti	181	Kaza	1630				Taizz	Yemen eyâleti																																																						
ADESSE		آدسّه	Vodina						Region	Not		Kaza				Selânik	Selânik	Yunanistan																																																														
ADİD		عديد							Region			Nahiye	1875			Katar	Basra	Basra vilâyeti	108																																																													
ADİLCEVAZ	1007	عادلجواز							Region			Sancak	1549-12-22T00:00:00Z					Van eyâleti	175	Kaza	1846				Van	Van eyâleti	Kaza	1912				Van	Van vilâyeti	Nahiye	1926			Ahlat	Bitlis	Kaza	1936				Bitlis																																			
ADIYAMAN		آدی يامان	Hısn-ı Mansur						Region	Republic of Turkey		Kaza	1924					Malatya		Vilâyet	1954					Adıyaman																																																						
ADLİYE		عدليه							Region			Kaza	1864				Vidin	Tuna vilâyeti	172																																																													
Adranos		آطرانوس	ORHANELİ						Region			Kaza					Hudavendigâr	Anadolu eyâleti	101	Kaza	1867				Bursa	Hudavendigâr vilâyeti	Kaza	1924					Bursa																																															
ADRİYA		آدريا							City	Not	https://www.wikidata.org/wiki/Q34615	Şehir					Venedik	İtalya																																																														
AFAR		عفار							Region			Nahiye	1871			Hıcce	Sana	Yemen vilâyeti	181																																																													
Afgan		افغان	GÜNDOĞAN						City			Nahiye	1865			Karaman	Konya	Konya vilâyeti	144	Köy				Bucakkışla	Merkez	Karaman																																																						
AFŞAR		آفشار							City			Kaza	~1530				Hamid	Anadolu eyâleti	101	Nahiye	1865				Şarkikaraağaç	Konya vilâyeti	Köy				Merkez	Gelendost	Isparta																																															
AFŞAR		آفشار	Avşar						City			Nahiye	1865			Suşehri	Karahisar-ı Şarkî	Sivas vilâyeti	166	Köy				Akıncılar	Suşehri	Sivas																																																						
AFŞİN		آفشين	Yarpuz, Efsus						Region			Nahiye					Elbistan	Maraş		Kaza	1944					Kahramanmaraş																																																						
AFYONKARAHİSAR	350	آفيون قره حصار	Afyon		Karahisar-ı Sahib			Osmanlı döneminde Karahisar-ı Sahib, Cumhuriyetle birlikte Afyonkarahisar, bir müddet sonra Afyon, 2005 yılında yine Afyonkarahisar denildi.	Region			Sancak	1427-12-23T00:00:00Z					Anadolu eyâleti	101	Sancak	1841					Hudavendigâr eyâleti	Sancak	1867					Hudavendigâr vilâyeti	Vilâyet	1924				Afyonkarahisar																																									
AĞABEYLİ		آغا بکلی	Bertiz						City	Republic of Turkey		Nahiye					Merkez	Kahramanmaraş																																																														
AĞAÇELİ		آغاچ ايلی	Ilıcalar, Fahran						City	Republic of Turkey		Nahiye					Merkez	Bingöl																																																														
AĞAÇLI		آغاچلی	Çıska, Cıksı						City			Nahiye	19. yy.			Merkez	Âmid	Diyarbakır eyâleti	121	Nahiye	1924				Kulp	Diyarbakır vilâyeti																																																						
AĞAÇLI		آغاچلی							Region			Kaza	1887				Kocaeli	Hudavendigâr vilâyeti	133																																																													
