Placename@tr	ottgaz_id	Placename@ott	Placename_2@tr	Placename_2@ott	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Belongs_to_1-1_id	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14
KARATAŞ		قره طاش							Region			Nahiye		Silifke’nin Cambazlı k.yü civarında idi.		Silifke	İçil	Karaman eyâleti	139																																																													
KARATAY		قره طای							Region			Kaza	~1990					Konya																																																														
KARATEPE		قره تپه							Region			Kaza	1855				Kifri	Bağdad maa Şehrizor eyâleti	107	Nahiye	1879			Salâhiye	Şehrizor	Musul vilâyeti																																																						
KARATOPRAK		قره طوپراق	Turgutreis						Region			Nahiye					Bodrum	Muğla																																																														
KARATUT		قره طوت							Region			Nahiye	1866			Zeytün	Maraş	Halep vilâyeti	129																																																													
KARAURGAN		قره اورغان							Region	Republic of Turkey		Nahiye	1926				Sarıkamış	Kars																																																														
KARAYAKA		قره يقا							Region			Nahiye					Erbaa	Tokat																																																														
KARAYAKUP		قره يعقوب							City			Nahiye	1865			Mecitözü	Amasya	Sivas vilâyeti	166	Köy				Merkez	Göynücek	Amasya																																																						
KARAYAZI		قره يازی							Region			Nahiye	1865			Pasinler	Erzurum	Erzurum vilâyeti	125	Nahiye	1924				Pasinler	Erzurum	Kaza	1937					Erzurum																																															
KARAYİĞİT		قره يکيت							City			Nahiye	1865			İslâhiye	Maraş	Halep vilâyeti	129	Köy					Kaypak	Osmaniye																																																						
KARAYOVA maa TULCA		قره يوه مع طولجی							Region			Kaza	1562				Küçük Eflâk	Eflâk eyâleti	123	Kaza	1878				Eflâk eyâleti	Romanya																																																						
KARAYÜN		قره يوگ							City			Nahiye	1865			Hafik	Sivas	Sivas vilâyeti	166	Nahiye	1924				Merkez	Sivas																																																						
KÂRAZ		کاراز							Region			Nahiye	1871			Lice	Diyarbakır	Diyarbakır vilâyeti	121																																																													
KARBEYAZ		قاربياز	Yiğityolu						Region			Nahiye					Altınözü	Hatay																																																														
KARÇİKAN		قارچکان							Region			Nahiye	1882			Gevaş	Van	Van vilâyeti	175																																																													
KARDAHA maa NEVASIRA		قرداحه مع نواصره							Region			Kaza	~1614				Lazkiye	Sayda eyâleti	160	Nahiye	1888			Cebele	Lazkiye	Beyrut vilâyeti																																																						
KARDAMİLE		قرداميله							City			Nahiye	1867			Merkez	Sakız	Cezayir-i Bahr-i Sefid vilâyeti	118	Nahiye	1913			Merkez	Sakız	Yunanistan																																																						
Kardiç		قارديچ	KEMER						City			Kaza	1846				Teke	Karaman eyâleti	139	Nahiye	1865			Merkez	Teke	Konya vilâyeti	Nahiye		İgdir=Kumluca ile birlikte kaza idi.			Merkez	Antalya																																															
KARDİÇA		قارديچه	Karditsa						Region			Kaza	1867					Tırhala sancağı		Kaza	1881				Tırhala	Yunanistan																																																						
KARESİ	217	قره سی	Balıkesir						Region			Sancak	~1530					Anadolu eyâleti	101	Sancak	1841					Saruhan eyâleti	Sancak	1847					Hudavendigâr eyâleti	Vilâyet	1880				Karesi vilâyeti	Sancak	1886				Hudavendigâr vilâyeti	Sancak	1909			Müstakil sancak	Vilâyet	1924			Balıkesir																									
KARGAL		قرغه ل							City			Nahiye	1867			Merkez	Diyarbakır	Diyarbakır vilâyeti	121																																																													
KARGALI		قارغه لی							City			Köy				Merkez	Saray	Van		Kaza merkezi	1948				Özalp	Van																																																						
KARGI		قارغی							Region			Kaza	~1530				Kengırı	Anadolu eyâleti	101	Kaza	1841				Kengırı	Ankara eyâleti	Kaza	1849				Kengırı	Bozok eyâleti	Nahiye	1865		Tosya	Kastamonu	Kastamonu vilâyeti	Kaza	1936				Kastamonu	Kaza	1953			Çorum																														
KARGIN		قارغين							City			Nahiye	1865			Yıldızeli	Sivas	Sivas vilâyeti	166	Köy				Çırçır	Yıldızeli	Sivas																																																						
KARGULUK		قارغولق							Region			Nahiye		Hassa ilçesi bölgesinde idi.		Güvercinlik	Maraş	Zülkadriye eyâleti	183																																																													
KARICIK		قاريجق							City			Nahiye	1883			Hısnımansur	Malatya	Mamûretülaziz vilâyeti	147	Nahiye	1924				Adıyaman	Malatya	Köy				Akpınar	Merkez	Adıyaman																																															
KARİNÂBÂD		قارين آباد	Karnobat		Poljanovgrad				Region			Kaza	1878				Bergos	Rumeli-i Şarkî vilâyeti	156	Kaza	1908				Burgaz	Bulgaristan																																																						
KARİS		قاريس							City			Kaza merkezi	1867			Aynaroz	Selânik	Selânik vilâyeti	163	Kaza merkezi	1913				Aynaroz	Yunanistan																																																						
KARIŞLI		قارشلی							Region			Nahiye	1865			Ahiçelebi	Gümülcine	Edirne		Nahiye				Ahiçelebi	Gümülcine	Yunanistan																																																						
Karıpazarı		قاری بازاری	ORTA						City			Kaza	~1530				Kengırı	Anadolu eyâleti	101	Kaza	1849				Kengırı	Bozok eyâleti	Nahiye	1867			Merkez	Kengırı	Kastamonu vilâyeti	Nahiye	1944			Şabanözü	Çankırı	Kaza	1959				Çankırı																																			
KARKAMIŞ		قارغامش	Kargamış						City			Köy				Cerablus	Nizip	Gaziantep		Nahiye merkezi				Barak	Nizip	Gaziantep	Kaza	~1990					Gaziantep																																															
KARKAR	1257	کارکار	Daldere						Region			Sancak	1567-12-22T00:00:00Z					Van eyâleti	175																																																													
Karkar		کارکار	DALDERE						City			Nahiye	1882			Gevaş	Van	Van vilâyeti	175	Köy		1860’ta Gevaş’ın tek başına kaza olmasıyla Karkar’ın idarî merkez olmaktan çıktığı anlaşılıyor.		Merkez	Gevaş	Van																																																						
KARKAR maa GEVAŞ		کارکار مع کواش							Region			Kaza	1855					Van eyâleti	175																																																													
KARKAR maa MÜKÜS	1258	کارکار مع مکس							Region			Sancak	1609-01-01T00:00:00Z					Van eyâleti	175	Kaza	~1845				Van	Erzurum eyâleti																																																						
KARLIİLİ	1259	قارلی ايلی	Arta					Preveze ile İnebahtı arasında bulunan “Epir” bölgesine Osmanlı döneminde verilen ad.	Region			Sancak	1462-12-23T00:00:00Z					Rumeli eyâleti	156	Sancak	1533					Kaptanpaşa eyâleti	Sancak	1801					Mora eyâleti	Sancak	1829				Yunanistan																																									
KARLIOVA		قارلی اووه						Bingöl adı ile kaza olduğu ve Bingöl iline bağlanınca Karlıova adını almış olduğu.	Region	Republic of Turkey		Kaza	1934					Muş		Kaza	1936					Bingöl																																																						
KARLOVA		قارلوه	Karlovo									Kasaba	1878				Filibe	Rumeli-i Şarkî vilâyeti	156	Kaza	1908				Filibe	Bulgaristan																																																						
KARLOVA		قارلوه							Region			Nahiye	1832					Sisam emâreti		Nahiye	1913				Sisam	Yunanistan																																																						
KARLOVİÇ		قارلوويچ	Carlovitz							Not		Kasaba						Macaristan																																																														
KARMIŞ		قارمش							Region			Nahiye	16. yy.				Aksaray	Karaman eyâleti	139																																																													
KARNAİL		قرناءل							Region			Nahiye	1856				Cebel-i Nasara	Sayda eyâleti	160																																																													
KARNAK		قرنق						Tibe antik kenti yakınında				Köy					Kına	Mısır eyâleti	149																																																													
KARPAS		قارپاس	Carpassia						Region			Kaza	~1608				Kıbrıs	Cezayir-i Bahr-i Sefid eyâleti	118																																																													
KARPENSİ		قارپنسی							Region	Not		Kaza					Atolya maa Akarnanya	Yunanistan																																																														
KARPUZLU		قارپوزلی	G.lcük		Demircidere				Region			Nahiye	~1530			Çine	Menteşe	Anadolu eyâleti	101	Nahiye	1924				Çine	Aydın	Kaza	~1990					Aydın																																															
KARS	140	قارص							Region			Sancak	~1540					Diyarbakır eyâleti	121	Eyâlet	1579					Kars eyâleti	Sancak	1846					Erzurum eyâleti	Sancak	1878-1918				Rusya	Vilâyet	1924				Kars																																			
KARS	617	قارص							City		https://www.wikidata.org/wiki/Q127063																																																																					
Kars		قارص	Kars Zülkadriye		Kars-ı Maraş	KADİRLİ			Region			Kaza	1522				Maraş	Zülkadriye eyâleti	183	Kaza	1830				Maraş	Adana eyâleti	Kaza	1869				Kozan	Adana vilâyeti	Kaza	1926				Adana	Kaza	1996				Osmaniye																																			
Karsantı		قارصندی	ALADAĞ						Region			Kaza	17. yy.				Adana	Adana eyâleti	100	Nahiye	1869				Karaisalı	Adana vilâyeti	Kaza		Bu nahiyenin yerinde Aladağ kazası kuruldu.				Adana																																															
KARŞIYAKA		قارشی يقا							Region	Republic of Turkey		Kaza	1954					İzmir																																																														
KARŞU-YI SAGİR		قارشوی صغير							Region			Nahiye	1865			Ahiçelebi	Gümülcine	Edirne vilâyeti	122	Nahiye	1919				Ahiçelebi	Yunanistan																																																						
KARTACA		قارطاج							City			Antik şehir				Golet	Tunus	Tunus eyâleti	173																																																													
KARTAL		قرتال	Abdurrahmangazi						Region			Kaza	1855				Kocaeli	Hudavendigâr eyâleti	133	Kaza	1878					Şehremâneti	Kaza	1909				Üsküdar	İstanbul vilâyeti	Nahiye	1924			Üsküdar	İstanbul	Kaza	1928				İstanbul																																			
KARTİN		قارتين							Region			Nahiye				Humus	Hama	Suriye vilâyeti	168																																																													
KARYOT		قاريوط	Ay-Karyot		Nicaria							Kaza (ada)	1867				Sakız	Cezayir-i Balrisefid vilâyeti		Kaza	1913				Sakız	Yunanistan																																																						
KAŞ		قاش	Andifli						Region			Kaza	~1530				Teke	Anadolu eyâleti	101	Kaza	1865				Teke	Konya vilâyeti	Kaza	1924					Antalya																																															
Kaş		قاش	KAŞOBA						Region			Kaza	17. yy.				Lârende	Karaman eyâleti	139	Köy					Kılbasan	Karaman																																																						
KAŞ		قاش							City			Nahiye	1867			Merkez	Erganimadeni	Diyarbakır vilâyeti	121																																																													
Kasaba		قصبه	Kasaba-i zîr		İstanos	YENİKENT			Region			Nahiye	~1530			Ankara	Ankara	Anadolu eyâleti	101	Kaza	1841				Ankara	Ankara eyâleti	Kaza	1849				Ankara	Bozok eyâleti	Kaza	1867			Ankara	Ankara vilâyeti	Kaza	1924				Ankara	Nahiye	1926		Merkez	Ankara	Nahiye	1957		Yenimahalle	Ankara	Nahiye	~1990		Sincan	Ankara																				
Kasaba		قصبه	Kasaba-i Turgutlu		TURGUTLU				Region			Kaza	1864				Saruhan	Aydın vilâyeti	104	Kaza	1924					Manisa																																																						
KASABA		قصبه							City			Nahiye		Malatya’nın güneybatısında idi.		Merkez	Malatya	Rum eyâleti	155																																																													
KAŞAKLU		قشاقلو							Region			Nahiye	~1530				Beyşehri	Karaman eyâleti	139	Kaza		Lağvedilmiş, aşiret olmalı.			Konya	Konya vilâyeti																																																						
KASAT		قثات							Region			Nahiye					Batroun	Cebel-i Lübnan sancağı																																																														
KASÎM	1260	قصيم							Region			Sancak	19. yy.	Bu sancağın merkezleri Riyad ve Buraidadır. Buraida’da Osmanlı garnizonu vardı.)				Basra vilâyeti	108																																																													
KASIMLAR		قاسملر							Region			Nahiye					Sütçüler	Isparta																																																														
KASIMLAR		قاسملر							City	Republic of Turkey		Nahiye merkezi				Beycuma	Merkez	Zonguldak																																																														
Kasımoğlu		قاسم اوغلی	KASIMUŞAĞI						City			Nahiye				Akçadağ	Malatya	Mamûretülaziz		Köy				Kürecik	Akçadağ	Malatya																																																						
Kasır		قصر	AKINCI		Kasr-ı Kalenderan				City	Republic of Turkey		Nahiye					Merkez	Mardin																																																														
Kaskân		کاسکان	ÇANAKÇI						City			Nahiye	~1870				Suruç	Urfa sancağı		Köy				Mürşitpınar	Suruç	Şanlıurfa																																																						
KASPİÇEN		قاسپيچن										Kasaba					Şumnu	Bulgaristan																																																														
KASR-I CEBEL		قصرجبل	Kasr-ı Yifrin						Region			Kaza	1553				Cebel-i Garbî	Trablusgarb eyâleti	170																																																													
KASR-I KAYREVAN		قصرقيروان							City			Şehir					Kayrevan	Tunus																																																														
KASR-I KEBİR		قصرکبير							City		https://www.wikidata.org/wiki/Q52603	Şehir		Tanca yakınında.				Fas																																																														
KASR-I ŞİRİN		قصرشيرين										Köy		17 Mayıs 1639’da burada İran’la barış anlaşması yapılmıştır.			Kerkük	Musul																																																														
KASR-I YİFRÎN	512	قصريفرين	Kasr-ı Cebel						City		https://www.wikidata.org/wiki/Q1018215	Sancak merkezi	1552-12-22T00:00:00Z				Cebel-i Garbî	Trablusgarb																																																														
Kasrik		قصريک	KIRKGEÇİT						City	Republic of Turkey		Kaza merkezi	1935				Gürpınar	Van		Nahiye	1954				Gürpınar	Van																																																						
KASRULFÜLÛS		قصرالفلوس										Kasaba					Vahran	Cezayir																																																														
KASTAMONU	141	قسطمونی							Region			Sancak	1458-12-23T00:00:00Z					Anadolu eyâleti	101	Eyâlet	1841					Kastamonu eyâleti	Vilâyet	1865					Kastamonu vilâyeti	Vilâyet	1924				Kastamonu																																									
KASTAMONU	618	قسطمونی							City		https://www.wikidata.org/wiki/Q155915																																																																					
KASTELLENETA		قاستلانته								Not		Kasaba				Trante	Otranto	İtalya																																																														
KASTELLORİZO		قاستللوريزو							City			Kaza merkezi	1867			Meyis	Rodos	Cezayir-i Bahr-i Sefid vilâyeti	118	Kaza merkezi	1948			Meyis	Rodos	Yunanistan																																																						
KASTELLOZ		قاستللوز							City			Nahiye	1867			Merkez	Rodos	Cezayir-i Bahr-i Sefid vilâyeti	118	Nahiye	1948			Merkez	Rodos	Yunanistan																																																						
KASTRI		قاستری							City			Kasaba				Kinoryo	Arkadya	Mora		Kasaba					Kinoryo	Yunanistan																																																						
KÂSÛN		کاسون							Region			Nahiye	1865			Selimiye	Hama	Suriye vilâyeti	168																																																													
KAŞUT		قاشوط	Kasos		Çobanadası							Kaza (ada)	1867				Rodos	Cezayir-i Bahr-i Sefid vilâyeti	118	Kaza	1948				Rodos	Yunanistan																																																						
KATANA		قطنه							City			Kaza merkezi	1865			Vâdi’l-acem	Şam	Suriye vilâyeti	168																																																													
KATAR	1261	قطر	El-Bedâ						Region			Sancak	1853-01-01T00:00:00Z					Ahsa eyâleti		Kaza	1875				Necd-i Şarkî	Basra vilâyeti	Ülke		Başkenti “Doha”dır. 1914’e kadar burada Türk hakimiyeti devam etti.				Katar																																															
KATAR		قطار							Region			Kaza		Yeri tesbit edilemedi.			Çorum	Rum eyâleti	155																																																													
KATARO		قاتارو	Kotor						Region			Kaza		İskele				Dalmaçya																																																														
KÂTI‘		قاطع							Region			Nahiye	1861				Metin	Cebel-i Lübnan sancağı																																																														
KATİFE		قطيفه							Region			Nahiye	1865			Nebek	Şam	Suriye vilâyeti	168																																																													
KATIYA	1262	قاطيه							Region			Sancak	17. yy.					Mısır eyâleti	149	Kaza	1706				Kalyûbiye-Şarkıye	Mısır eyâleti	Kaza					Hanyunus-El-Ariş	Mısır eyâleti																																															
KATRANİÇE		قطرانيچه							Region			Nahiye	1889			Cuma	Serfiçe	Manastır vilâyeti	148																																																													
KATRİN		قطرين	Katerini						Region	Not		Kaza				Selânik	Selânik	Yunanistan																																																														
KATRUN		قطرون							Region			Nahiye				Merzûk	Fizan	Trablusgarb																																																														
KAV		قاو							City			Nahiye	1884			Merkez	Basra	Basra vilâyeti	108																																																													
KAVACIK		قواجق							City			Nahiye	1867			Koyulhisar	Karahisar-ı Şarkî	Sivas vilâyeti	166	Köy				Ortakent	Koyulhisar	Sivas																																																						
KAVACIK		قواجق							Region	Republic of Turkey		Nahiye	1926				Dursunbey	Balıkesir																																																														
KAVADAR		قوادار	Kavadarci						City			Kaza merkezi	1867			Tikveş	Selânik	Selânik vilâyeti	163																																																													
KAVAK		قواق							City			Kaza	16. yy.				Canik	Trabzon eyâleti	171	Nahiye	1871			Merkez	Canik	Trabzon vilâyeti	Kaza	1934					Samsun																																															
KAVAK		قواق	Yeşilyurt						Region			Nahiye	1865			Kangal	Sivas	Sivas vilâyeti	166	Nahiye	1924				Kangal	Sivas																																																						
KAVAK		قواق							City			Nahiye merkezi				Buğdaylı	Gönen	Balıkesir																																																														
KAVAK		قواق							City			Nahiye merkezi				Hazar	Maden	Elâzığ																																																														
KAVAK ve KOCAKAYASI		قواق وَقوجه قياسی							Region			Kaza	~1520				Canik	Rum eyâleti	155																																																													
KAVAKBAŞI		قواقباشی	Huyut		Tap				Region			Nahiye					Mutki	Bitlis																																																														
KAVAKLI		قواقلی							City			Nahiye	1865			Merkez	Kırkkilise	Edirne vilâyeti	122	Kasaba				Merkez	Merkez	Kırklareli																																																						
KAVAKLI		قواقلی	Topolov-grad						Region			Kaza	1878				İslimiye	Rumeli-i Şarkî		Köy				Kızılağaç	Yanbolu	Bulgaristan																																																						
KAVAKLIDERE		قواقلی دره							City	Republic of Turkey		Nahiye					Merkez	Muğla		Nahiye	1944				Yatağan	Muğla	Kaza	~1990					Muğla																																															
Kavaklı		قواقلی	MERİÇ		Büyükdoğanca				Region			Kaza	1913					Edirne vilâyeti	122	Kaza	1924					Edirne																																																						
KAVALA	1263	قواله	Kavalla						Region			Sancak	15. yy.					Rumeli eyâleti	156	Sancak	16. yy.					Cezayir-i Bahr-i Sefid eyâleti	Kaza	17. yy.				Gelibolu	Cezayir-i Bahr-i Sefid eyâleti	Kaza	19. yy.			Drama	Selânik vilâyeti	Kaza	1913				Bulgaristan	Kaza	1919			Yunanistan																														
KAVAYE		قوايه							Region			Kaza	1881				Dıraç	İşkodra vilâyeti	135																																																													
KAVERLOY		قاورلوی							Region			Kaza	15. yy.				Boğdan	Boğdan eyâleti	111	Kaza	1878				Boğdan	Romanya																																																						
Kaya KAYAKÖY		قيا							City			Nahiye					Fethiye	Muğla		Köy				Merkez	Fethiye	Muğla																																																						
KAYACIK		قياجق							Region			Kaza	~1530				Saruhan	Anadolu eyâleti	101	Kaza	1811				Saruhan	Aydın eyâleti	Nahiye	1870			Gördes	Saruhan	Aydın vilâyeti	Kasaba			Merkez	Gördes	Manisa																																									
KAYACIK		قياجق	Hezan=Savat						Region			Nahiye					Lice	Diyarbakır																																																														
KAYADİBİ		قياديبی							City	Republic of Turkey		Nahiye					Merkez	Sivas																																																														
KAYADİBİ		قياديبی							City	Republic of Turkey		Nahiye merkezi	1945			Salmanlı	Yerköy	Yozgat																																																														
Kayaili		قيا ايلی	KAYAELİ						City			Nahiye	~1530			Kepsut	Hudavendigâr	Anadolu eyâleti	101	Köy				Durak	Kepsut	Balıkesir																																																						
KAYALAR		قيالر	Ptolemais		Cuma	Cumapazarı	Serfice Cuması		Region			Kaza	1869				Serfiçe	Manastır vilâyeti	148	Kaza	1913				Serfiçe	Yunanistan																																																						
KAYALAR		قيالر							City			Nahiye	1841			Balya	Karesi	Hudavendigâr eyâleti	133	Köy				Ilıca	Balya	Balıkesir																																																						
KAYAPA		قياپا	Osmanköy						Region	Republic of Turkey		Nahiye	1944				İvrindi	Balıkesir																																																														
KAYAPINAR		قياپيکار	Habezbeni		Ayınkef				Region			Nahiye	1867			Midyat	Mardin	Diyarbakır vilâyeti	121	Nahiye	1926				Gercüş	Mardin	Nahiye	1990				Gercüş	Batman																																															
KAYI		قايی							City			Nahiye	1865			Mecitözü	Amasya	Sivas vilâyeti	166	Köy				Merkez	Mecitözü	Çorum																																																						
KAYI		قايی										Köy				Merkez	Bor	Niğde																																																														
KAYI		قايی							Region			Nahiye	1890			Osmaniye	Cebelibereket	Adana																																																														
KAYI maa BOR		قايی مع بور							Region			Kaza	~1483				Niğde	Karaman eyâleti	139																																																													
KAYMAKÇI		قيماقچی							Region	Republic of Turkey		Nahiye	1948				Ödemiş	İzmir																																																														
KAYMAZ		قيماس	Araman						Region			Kaza	1855				Kocaeli	Hudavendigâr eyâleti	133	Nahiye	1878				Kandıra	İzmit sancağı	Nahiye	1924				Kandıra	Kocaeli																																															
KAYMAZ		قيماس							City			Köy		Cumhuriyetten önce		Merkez	Sivrihisar	Eskişehir		Nahiye					Sivrihisar	Eskişehir																																																						
KAYMENİ		قايمنی	Kaimeni							Not		Ada		Kiklada adalarından				Yunanistan																																																														
KAYNAK		قيناق							City			Nahiye merkezi				Karacadağ	Siverek	Şanlıurfa																																																														
KAYNAR		قاينار							Region			Nahiye	1865			Aziziye	Sivas	Sivas vilâyeti	166	Nahiye	1927				Pınarbaşı	Kayseri																																																						
KAYNARCA		قاينارجه	Şeyhler		Hoca				Region	Republic of Turkey		Nahiye	1924				Kandıra	Kocaeli		Kaza	1959					Kocaeli	Kaza	1966					Sakarya																																															
KAYNARCA		قاينارجه										Kasaba					Silistre	Bulgaristan eyâleti	115																																																													
KAYNAŞLI		قايناشلی							City			Nahiye					Düzce	Bolu		Nahiye	1999				Merkez	Düzce																																																						
KAYPAK		قايپاق	Serdar						Region			Nahiye	1866			Bulanık	Maraş	Halep vilâyeti	129	Nahiye	1880			Yarpuz	Cebelibereket	Adana vilâyeti	Nahiye	1924				Osmaniye	Cebelibereket	Nahiye	1933			Osmaniye	Adana	Nahiye	1996			Merkez	Osmaniye																																			
KAYREVAN		قيروان							City		https://www.wikidata.org/wiki/Q179570	Şehir	16. yy.					Tunus eyâleti	173																																																													
KAYSERİ	220	قيصريه							Region			Sancak	1482-12-23T00:00:00Z					Karaman eyâleti	139	Sancak	1846					Bozok eyâleti	Sancak	1872					Ankara vilâyeti	Vilâyet	1924				Kayseri																																									
KAYTAR		قيطر							Region			Nahiye	1865			Antakya	Halep	Halep vilâyeti	129																																																													
KAZA-YI ERBAA	1264	قضای اربعه	Terkos						Region			Sancak	1852-01-01T00:00:00Z	Dört kaza şunlardır: Terkos ve Kurâ-yı Suyolu, Kü.ük.ekmece, Büyük Çekmece, Çatalca.)				Edirne vilâyeti	122																																																													
Kazâbâd		قازآباد	PAZAR						Region			Nahiye	~1530			Tokat	Sivas-Tokat	Rum eyâleti	155	Kaza	16. yy.				Sivas	Sivas eyâleti	Nahiye					Turhal	Tokat	Kaza	~1990				Tokat																																									
KAZAN		قزان	Halkavun						City	Republic of Turkey		Köy				Yenikent	Merkez	Ankara		Nahiye	1957				Yenimahalle	Ankara	Kaza	1987					Ankara																																															
KAZAN		قزان	Kotel						City			Nahiye	1878			Merkez	İslimiye	Rumeli-i Şarkî vilâyeti	156	Kaza	1908				İslimiye	Bulgaristan																																																						
KAZANCI		قزانجی							Region			Nahiye					Ermenek	Konya		Nahiye	1989				Ermenek	Karaman																																																						
KAZANCIK		قزانجق							City			Nahiye	1865			Aziziye	Sivas	Sivas vilâyeti	166	Köy				Örenşehir	Pınarbaşı	Kayseri																																																						
KAZANİYE	1265	قزانيه							Region			Sancak	17. yy.					Bağdad eyâleti	106	Kaza	1855				Bedre	Bağdad maa Şehrizor eyâleti																																																						
KAZANLI		قزانلی							City	Republic of Turkey		Nahiye					Merkez	İçel																																																														
KAZIKLI		قازيقلی							City			Nahiye	1867			Milâs	Menteşe	Aydın vilâyeti	104	Köy	1926			Merkez	Milâs	Muğla																																																						
KÂZIMİYE		کاظميه						İmam Musa Kâzım’ın adına İzafeten. Bağdat’ın yakınında.	Region			Kaza	1855				Bağdad	Bağdad maa Şehrizor eyâleti	107	Kaza					Bağdad	Irak																																																						
KÂZIMKARABEKİR		کاظم قره بکر	Gaferiyat		Mahmutlar				Region	Republic of Turkey		Nahiye	1989				Karaman	Konya																																																														
KÂZIMPAŞA		کاظم پاشا							City	Republic of Turkey		Nahiye	1930				Merkez	Sakarya																																																														
Kazılağaç		قزيل آغاچ	GÜZELBAĞ						Region	Republic of Turkey		Nahiye	1924				Alanya	Antalya		Nahiye	1936				Gündoğmuş	Antalya																																																						
KDANO		قدانو							City			Kaza merkezi	1867			Seline	Hanya	Girit vilâyeti	126																																																													
KEBAN	322	کبان	Keban Madeni						Region			Kaza	~1530				Çemişgezek	Diyarbakır eyâleti	121	Eyâlet						Keban eyâleti	Kaza	1834				Harput	Diyarbakır eyâleti	Kaza	1877			Mamûretülaziz	Mamûretülaziz vilâyeti	Kaza	1924				Elâzığ																																			
KEBİSE		کبيسه							Region			Kaza	1855				Düleym	Bağdad maa Şehrizor eyâleti	107	Nahiye	1867			Düleym	Bağdad	Bağdad vilâyeti																																																						
KEBSİL		کبسيل							Region			Nahiye		Bulancak ilçe merkezinin bulunduğu yerler de o zaman bu nahiyeye bağlı olduğu sanılıyor.		Ordu	Canik	Rum eyâleti	155																																																													
KEÇİBORLU		کچی بورلی							Region			Kaza	~1530				Hamid	Anadolu eyâleti	101	Nahiye	1865			Isparta	Hamid	Konya vilâyeti	Kaza	1948					Isparta																																															
KEÇİÖREN		کچی اوره ن							Region			Kaza						Ankara																																																														
KEDERPİT		کدرپيت							City			Nahiye		Akçadağ yakınında ve kuzeybatısında idi.		Merkez	Malatya	Rum eyâleti	155																																																													
KEFALONYA		کفالونيه	Cephalonia							Not		Ada		Adriyatik’te, Cezayir-i Seb’a’nın en büyüğüdür.				Yunanistan																																																														
KEFE	143	کفه	Cafia		Teodosya	Feodosya			Region			Eyâlet	1567-12-22T00:00:00Z					Kefe eyâleti	143	Sancak	1586					Rumeli eyâleti	Eyâlet						Kaptanpaşa eyâleti	Sancak	17. yy.		Tavride	Kırım	Rusya	Kasaba	1774				Ukrayna	Kasaba				Ukrayna																														
Keferdiz		کفرديز	SAKÇAGÖZ						Region			Nahiye	1515			Maraş	Maraş	Zülkadriye eyâleti	183	Nahiye	1877			İslâhiye	Cebelibereket	Adana vilâyeti	Nahiye	1923				İslâhiye	Cebelibereket	Nahiye	1933				Gaziantep																																									
Keferdiz		کفرديز	DOĞANYOL						Region			Nahiye	1877			Pütürge	Mamûretülaziz	Mamûretülaziz vilâyeti	147	Nahiye	1924				Pütürge	Malatya	Kaza	~1990					Malatya																																															
KEFERKİNE		کفرکينه							Region			Nahiye	1517				Safed	Arap vilâyeti	103																																																													
KEFERROMA		کفرروما										Köy		Vaktiyle meşhur kalesi bulunan tarihi bir köy.		Maarretünnuman	Halep	Suriye vilâyeti	168																																																													
KEFERSABA		کفرسابا										Köy		Tarihi bir köy.			Nablus	Filistin																																																														
KEFERTAB		کفرتاب							Region			Nahiye	1517				Halep	Arap vilâyeti	103	Kaza	1520				Hama	Şam eyâleti																																																						
KEFL		کفل							Region			Nahiye	1867			Hindiye	Kerbelâ	Bağdad vilâyeti	106																																																													
KEFRENCE		کفرنجه							Region			Nahiye	1865			Aclun	Havran	Suriye vilâyeti	168																																																													
KEHF		کهف							Region			Nahiye	1517				Trablus	Arap vilâyeti	103	Kaza	1847				Lazkiye	Sayda eyâleti																																																						
KEHF		کهف										Kasaba						Tunus																																																														
KEHF		کهف										Kasaba					Nevbe	Mısır																																																														
KEHRİZ		کهريز							Region			Kaza	1852				Hanikin	Bağdad maa Şehrizor eyâleti	107																																																													
